Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 03/01/2000 / Data final: 04/01/2010.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Média;Mediana;Moda;Desvio padrão;Índice de curtose;
04/01/2010;8,65;1,00032927;228.778.855.861,73;1242;8,62;8,65;8,65;0,175;38,944;
31/12/2009;8,65;1,00032927;68.832.477.534,22;216;8,65;8,65;8,65;0,023;532,6;
30/12/2009;8,65;1,00032927;72.258.003.229,42;230;8,65;8,65;8,65;0,03;259,478;
29/12/2009;8,64;1,00032890;132.878.611.031,65;1496;8,61;8,65;8,65;0,197;57,19;
28/12/2009;8,65;1,00032927;135.327.525.962,41;1434;8,62;8,65;8,65;0,164;44,615;
24/12/2009;8,65;1,00032927;108.881.774.973,55;740;8,62;8,65;8,65;0,184;34,84;
23/12/2009;8,65;1,00032927;113.207.667.028,01;760;8,62;8,65;8,65;0,186;33,433;
22/12/2009;8,65;1,00032927;146.654.755.894,54;1481;8,62;8,65;8,65;0,168;79,762;
21/12/2009;8,65;1,00032927;152.086.960.164,89;1429;8,63;8,65;8,65;0,162;46;
18/12/2009;8,65;1,00032927;178.168.515.047,3;1374;8,63;8,65;8,65;0,148;56,021;
17/12/2009;8,65;1,00032927;190.966.398.927,77;1303;8,64;8,65;8,65;0,131;71,607;
16/12/2009;8,65;1,00032927;186.740.665.062,26;1344;8,63;8,65;8,65;0,139;62,233;
15/12/2009;8,65;1,00032927;155.612.157.878,93;1433;8,63;8,65;8,65;0,151;53,23;
14/12/2009;8,65;1,00032927;162.090.954.657,26;1385;8,63;8,65;8,65;0,146;56,864;
11/12/2009;8,65;1,00032927;168.220.327.349,03;1336;8,63;8,65;8,65;0,146;56,383;
10/12/2009;8,65;1,00032927;177.151.713.030,33;1372;8,63;8,65;8,65;0,14;62,108;
09/12/2009;8,65;1,00032927;170.740.707.500,42;1301;8,64;8,65;8,65;0,139;62,419;
08/12/2009;8,65;1,00032927;159.025.497.116,25;1336;8,63;8,65;8,65;0,136;65,209;
07/12/2009;8,65;1,00032927;161.820.877.626,07;1380;8,63;8,65;8,65;0,137;65,076;
04/12/2009;8,65;1,00032927;161.877.875.718,12;1329;8,63;8,65;8,65;0,133;68,039;
03/12/2009;8,65;1,00032927;173.517.602.558,72;1307;8,63;8,65;8,65;0,14;73,707;
02/12/2009;8,65;1,00032927;177.883.239.129,45;1350;8,63;8,65;8,65;0,14;62,548;
01/12/2009;8,65;1,00032927;163.610.977.137,26;1367;8,63;8,65;8,65;0,14;61,138;
30/11/2009;8,65;1,00032927;160.657.665.650,47;1393;8,63;8,65;8,65;0,146;57,1;
27/11/2009;8,65;1,00032927;172.678.744.629,46;1325;8,63;8,65;8,65;0,134;68,579;
26/11/2009;8,65;1,00032927;182.837.962.263,71;1300;8,63;8,65;8,65;0,134;67,687;
25/11/2009;8,65;1,00032927;197.133.535.010,81;1288;8,64;8,65;8,65;0,125;96,678;
24/11/2009;8,65;1,00032927;186.959.557.511,33;1034;8,63;8,65;8,65;0,125;79,992;
23/11/2009;8,65;1,00032927;194.806.327.619,09;1008;8,63;8,65;8,65;0,123;92,425;
20/11/2009;8,65;1,00032927;176.853.885.267,48;545;8,63;8,65;8,65;0,131;93,918;
19/11/2009;8,65;1,00032927;184.107.256.206,16;685;8,63;8,65;8,65;0,126;81,651;
18/11/2009;8,65;1,00032927;219.260.539.598,89;1277;8,63;8,65;8,65;0,122;81,19;
17/11/2009;8,65;1,00032927;200.247.078.198,42;1026;8,63;8,65;8,65;0,129;70,436;
16/11/2009;8,65;1,00032927;208.963.231.555,2;1029;8,63;8,65;8,65;0,123;87,246;
13/11/2009;8,65;1,00032927;205.664.598.259,89;1276;8,63;8,65;8,65;0,125;84,201;
12/11/2009;8,65;1,00032927;206.741.762.385,74;1232;8,64;8,65;8,65;0,123;91,798;
