"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"16.02.2025","5,9852","5,9852","5,9852","5,9852","","0,02%"
"14.02.2025","5,9843","6,0352","6,0487","5,9749","","-0,83%"
"13.02.2025","6,0345","5,9885","6,0378","5,9812","","0,83%"
"12.02.2025","5,9851","5,9718","6,0062","5,9514","","0,24%"
"11.02.2025","5,9710","5,9657","5,9948","5,9517","","0,11%"
"10.02.2025","5,9645","5,9997","6,0104","5,9485","","-0,52%"
"07.02.2025","5,9956","5,9832","6,0041","5,9418","","0,24%"
"06.02.2025","5,9812","6,0306","6,0401","5,9642","","-0,82%"
"05.02.2025","6,0304","5,9715","6,0612","5,9691","","1,00%"
"04.02.2025","5,9709","6,0070","6,0209","5,9649","","-0,59%"
"03.02.2025","6,0063","6,0527","6,0557","5,9645","","-0,76%"
"31.01.2025","6,0524","6,1039","6,1236","6,0299","","-0,83%"
"30.01.2025","6,1031","6,1031","6,1807","6,0855","","0,01%"
"29.01.2025","6,1023","6,1098","6,1305","6,0728","","-0,09%"
"28.01.2025","6,1078","6,1834","6,1845","6,1060","","-1,20%"
"27.01.2025","6,1819","6,1985","6,2603","6,1793","","-0,33%"
"24.01.2025","6,2023","6,1712","6,2304","6,1483","","0,52%"
"23.01.2025","6,1702","6,1847","6,2116","6,1287","","-0,21%"
"22.01.2025","6,1833","6,2811","6,3012","6,1636","","-1,54%"
"21.01.2025","6,2803","6,2829","6,2942","6,2382","","-0,01%"
"20.01.2025","6,2812","6,2385","6,3027","6,2324","","0,74%"
"17.01.2025","6,2349","6,2313","6,2659","6,2058","","0,08%"
"16.01.2025","6,2302","6,1837","6,2520","6,1565","","0,76%"
"15.01.2025","6,1835","6,2425","6,2598","6,1814","","-0,93%"
"14.01.2025","6,2418","6,2443","6,2644","6,1974","","-0,02%"
"13.01.2025","6,2431","6,2530","6,2611","6,1921","","-0,18%"
"10.01.2025","6,2543","6,2173","6,3111","6,2058","","0,61%"
"09.01.2025","6,2163","6,3005","6,3134","6,2132","","-1,32%"
"08.01.2025","6,2997","6,3088","6,3372","6,2683","","-0,13%"
"07.01.2025","6,3078","6,3544","6,3822","6,2776","","-0,72%"
"06.01.2025","6,3537","6,3728","6,4494","6,3280","","-0,26%"
"03.01.2025","6,3701","6,3151","6,3869","6,3112","","0,88%"
"02.01.2025","6,3143","6,4033","6,4337","6,3044","","-1,39%"
"01.01.2025","6,4035","6,4033","6,4074","6,4012","","0,02%"
"31.12.2024","6,4023","6,4296","6,4406","6,3974","","-0,42%"
"30.12.2024","6,4292","6,4653","6,5033","6,4005","","-0,49%"
"27.12.2024","6,4610","6,4448","6,4913","6,4317","","0,27%"
"26.12.2024","6,4437","6,4405","6,4461","6,3952","","0,05%"
"25.12.2024","6,4407","6,4380","6,4486","6,4374","","0,07%"
"24.12.2024","6,4364","6,4453","6,4489","6,4288","","-0,13%"
"23.12.2024","6,4448","6,3414","6,4578","6,3146","","1,55%"
"20.12.2024","6,3464","6,3763","6,3985","6,2870","","-0,45%"
"19.12.2024","6,3752","6,5121","6,5561","6,3310","","-2,09%"
"18.12.2024","6,5110","6,4056","6,5410","6,3965","","1,68%"
"17.12.2024","6,4033","6,4629","6,5258","6,3593","","-0,90%"
"16.12.2024","6,4614","6,3502","6,4660","6,3247","","1,83%"
"13.12.2024","6,3452","6,2724","6,3787","6,2677","","1,18%"
"12.12.2024","6,2713","6,2498","6,3516","6,1618","","0,38%"
"11.12.2024","6,2478","6,3643","6,3815","6,2341","","-1,81%"
"10.12.2024","6,3630","6,4162","6,4250","6,3358","","-0,80%"
"09.12.2024","6,4143","6,4366","6,4466","6,3809","","-0,33%"
"06.12.2024","6,4353","6,3644","6,4392","6,3414","","1,13%"
"05.12.2024","6,3636","6,3501","6,3721","6,2986","","0,23%"
"04.12.2024","6,3490","6,3527","6,3835","6,3326","","-0,04%"
"03.12.2024","6,3516","6,3601","6,4168","6,3404","","-0,12%"
"02.12.2024","6,3591","6,3180","6,3966","6,2691","","0,68%"
"29.11.2024","6,3164","6,3493","6,4597","6,2931","","-0,48%"
"28.11.2024","6,3468","6,2746","6,3572","6,2512","","1,18%"
"27.11.2024","6,2726","6,0935","6,2761","6,0871","","2,96%"
"26.11.2024","6,0924","6,0852","6,1265","6,0451","","0,13%"
"25.11.2024","6,0847","6,0739","6,1125","6,0529","","0,66%"
"22.11.2024","6,0446","6,0908","6,1040","6,0084","","-0,74%"
"21.11.2024","6,0894","6,0851","6,1377","6,0694","","0,06%"
"20.11.2024","6,0859","6,1125","6,1255","6,0664","","-0,44%"
"19.11.2024","6,1127","6,0924","6,1331","6,0490","","0,37%"
"18.11.2024","6,0904","6,1089","6,1263","6,0648","","-0,29%"
"15.11.2024","6,1082","6,0975","6,1392","6,0923","","0,20%"
"14.11.2024","6,0958","6,1341","6,1378","6,0830","","-0,61%"
"13.11.2024","6,1330","6,1077","6,1533","6,0890","","0,42%"
"12.11.2024","6,1072","6,1326","6,1535","6,1052","","-0,41%"
"11.11.2024","6,1323","6,1475","6,1936","6,1145","","-0,28%"
"08.11.2024","6,1496","6,1508","6,2209","6,1258","","-0,01%"
"07.11.2024","6,1500","6,0939","6,1833","6,0768","","0,94%"
"06.11.2024","6,0928","6,2867","6,2904","6,0858","","-3,07%"
"05.11.2024","6,2856","6,3024","6,3316","6,2738","","-0,22%"
"04.11.2024","6,2995","6,3578","6,4062","6,2689","","-0,89%"
"01.11.2024","6,3560","6,2988","6,3685","6,2745","","0,93%"
"31.10.2024","6,2977","6,2569","6,3005","6,2490","","0,66%"
"30.10.2024","6,2563","6,2325","6,2805","6,2284","","0,40%"
"29.10.2024","6,2316","6,1740","6,2362","6,1506","","0,95%"
"28.10.2024","6,1732","6,1613","6,1922","6,1491","","0,22%"
"25.10.2024","6,1599","6,1332","6,1774","6,1279","","0,44%"
"24.10.2024","6,1327","6,1362","6,1838","6,1268","","0,00%"
"23.10.2024","6,1327","6,1445","6,1789","6,1248","","-0,16%"
"22.10.2024","6,1428","6,1586","6,1822","6,1336","","-0,25%"
"21.10.2024","6,1580","6,1828","6,2277","6,1502","","-0,42%"
"18.10.2024","6,1841","6,1253","6,1955","6,1068","","0,97%"
"17.10.2024","6,1245","6,1535","6,1801","6,1213","","-0,46%"
"16.10.2024","6,1530","6,1544","6,2072","6,1314","","0,00%"
"15.10.2024","6,1531","6,1028","6,1706","6,0835","","0,85%"
"14.10.2024","6,1012","6,1262","6,1663","6,0665","","-0,61%"
"11.10.2024","6,1385","6,1055","6,1826","6,0824","","0,57%"
"10.10.2024","6,1040","6,1199","6,1319","6,0851","","-0,25%"
"09.10.2024","6,1194","6,0782","6,1251","6,0595","","0,69%"
"08.10.2024","6,0773","6,0264","6,0817","6,0244","","0,87%"
"07.10.2024","6,0247","5,9887","6,0281","5,9503","","0,61%"
"04.10.2024","5,9880","6,0424","6,0700","5,9741","","-0,86%"
"03.10.2024","6,0399","6,0106","6,0782","5,9971","","0,51%"
"02.10.2024","6,0093","6,0177","6,0492","5,9819","","-0,14%"
"01.10.2024","6,0175","6,0686","6,0738","6,0135","","-0,83%"
"30.09.2024","6,0677","6,0670","6,1166","6,0489","","0,05%"
"27.09.2024","6,0647","6,0778","6,1127","6,0497","","-0,20%"
"26.09.2024","6,0770","6,0987","6,1135","6,0291","","-0,33%"
"25.09.2024","6,0974","6,0996","6,1455","6,0892","","-0,02%"
"24.09.2024","6,0984","6,1537","6,1721","6,0703","","-0,87%"
"23.09.2024","6,1520","6,1509","6,2285","6,1072","","0,02%"
"20.09.2024","6,1506","6,0574","6,1686","6,0459","","1,56%"
"19.09.2024","6,0563","6,0725","6,1048","6,0096","","-0,26%"
"18.09.2024","6,0718","6,0939","6,1140","6,0465","","-0,34%"
"17.09.2024","6,0927","6,1351","6,1424","6,0908","","-0,67%"
"16.09.2024","6,1337","6,1672","6,2085","6,1162","","-0,47%"
"13.09.2024","6,1627","6,2333","6,2467","6,1427","","-1,11%"
"12.09.2024","6,2320","6,2356","6,2673","6,2123","","-0,04%"
"11.09.2024","6,2342","6,2364","6,2611","6,1776","","-0,01%"
"10.09.2024","6,2348","6,1630","6,2540","6,1414","","1,19%"
"09.09.2024","6,1616","6,2067","6,2305","6,1567","","-0,71%"
"06.09.2024","6,2054","6,1933","6,2147","6,1433","","0,20%"
"05.09.2024","6,1928","6,2509","6,2689","6,1837","","-0,92%"
"04.09.2024","6,2501","6,2353","6,2622","6,2091","","0,26%"
"03.09.2024","6,2342","6,2187","6,2440","6,1631","","0,24%"
"02.09.2024","6,2194","6,2003","6,2625","6,1972","","0,35%"
