"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.03.2014","3,2788","3,2702","3,2915","3,2587","","0,24%"
"12.03.2014","3,2709","3,2749","3,2988","3,2690","","-0,18%"
"11.03.2014","3,2767","3,2595","3,2837","3,2383","","0,49%"
"10.03.2014","3,2607","3,2537","3,2696","3,2277","","0,38%"
"07.03.2014","3,2482","3,2185","3,2607","3,2168","","0,88%"
"06.03.2014","3,2200","3,1826","3,2222","3,1712","","1,15%"
"05.03.2014","3,1833","3,2165","3,2178","3,1781","","-1,07%"
"04.03.2014","3,2176","3,2187","3,2292","3,2122","","-0,06%"
"03.03.2014","3,2195","3,2231","3,2298","3,2140","","-0,25%"
"28.02.2014","3,2275","3,1824","3,2420","3,1768","","1,39%"
"27.02.2014","3,1831","3,2155","3,2199","3,1764","","-1,03%"
"26.02.2014","3,2163","3,2170","3,2270","3,2022","","-0,05%"
"25.02.2014","3,2179","3,2124","3,2240","3,2003","","0,15%"
"24.02.2014","3,2130","3,2203","3,2303","3,1948","","-0,30%"
"21.02.2014","3,2226","3,2511","3,2605","3,2164","","-0,90%"
"20.02.2014","3,2518","3,2870","3,2937","3,2354","","-1,10%"
"19.02.2014","3,2879","3,2946","3,3161","3,2772","","-0,24%"
"18.02.2014","3,2957","3,2741","3,3037","3,2647","","0,59%"
"17.02.2014","3,2763","3,2641","3,2799","3,2573","","0,16%"
"14.02.2014","3,2712","3,2738","3,2893","3,2556","","-0,12%"
"13.02.2014","3,2750","3,2961","3,3281","3,2705","","-0,68%"
"12.02.2014","3,2973","3,2729","3,2995","3,2577","","0,71%"
"11.02.2014","3,2739","3,2857","3,3037","3,2710","","-0,41%"
"10.02.2014","3,2874","3,2451","3,2908","3,2394","","1,29%"
"07.02.2014","3,2454","3,2367","3,2611","3,2192","","0,23%"
"06.02.2014","3,2378","3,2451","3,2818","3,2319","","-0,26%"
"05.02.2014","3,2463","3,2515","3,2779","3,2373","","-0,18%"
"04.02.2014","3,2521","3,2992","3,3035","3,2484","","-1,46%"
"03.02.2014","3,3004","3,2545","3,3030","3,2384","","1,43%"
"31.01.2014","3,2540","3,2685","3,3018","3,2347","","-0,47%"
"30.01.2014","3,2694","3,3260","3,3302","3,2614","","-1,74%"
"29.01.2014","3,3272","3,3153","3,3465","3,3068","","0,32%"
"28.01.2014","3,3165","3,3093","3,3221","3,2770","","0,18%"
"27.01.2014","3,3106","3,2797","3,3218","3,2664","","0,93%"
"24.01.2014","3,2801","3,2805","3,3369","3,2729","","-0,03%"
"23.01.2014","3,2811","3,2135","3,2943","3,2102","","2,06%"
"22.01.2014","3,2149","3,1960","3,2199","3,1883","","0,55%"
"21.01.2014","3,1972","3,1761","3,2091","3,1683","","0,64%"
"20.01.2014","3,1769","3,1717","3,1811","3,1554","","0,15%"
"17.01.2014","3,1720","3,2186","3,2200","3,1647","","-1,48%"
"16.01.2014","3,2197","3,2107","3,2348","3,1909","","0,26%"
"15.01.2014","3,2115","3,2145","3,2197","3,1845","","-0,11%"
"14.01.2014","3,2151","3,2252","3,2398","3,2095","","-0,34%"
"13.01.2014","3,2262","3,2250","3,2292","3,1914","","0,07%"
"10.01.2014","3,2239","3,2521","3,2606","3,2185","","-0,89%"
"09.01.2014","3,2527","3,2529","3,2696","3,2378","","-0,02%"
"08.01.2014","3,2535","3,2295","3,2599","3,2173","","0,72%"
"07.01.2014","3,2304","3,2374","3,2458","3,2057","","-0,24%"
"06.01.2014","3,2382","3,2350","3,2480","3,2307","","0,28%"
"03.01.2014","3,2292","3,2636","3,2651","3,2231","","-1,08%"
"02.01.2014","3,2644","3,2484","3,2951","3,2368","","0,48%"
"01.01.2014","3,2488","3,2463","3,2524","3,2451","","0,06%"
"31.12.2013","3,2470","3,2599","3,2630","3,2453","","-0,42%"
"30.12.2013","3,2608","3,2132","3,2643","3,2006","","1,47%"
"27.12.2013","3,2135","3,2188","3,2738","3,2067","","-0,20%"
"26.12.2013","3,2199","3,2239","3,2385","3,2081","","-0,14%"
"25.12.2013","3,2245","3,2246","3,2316","3,2190","","-0,04%"
"24.12.2013","3,2258","3,2276","3,2304","3,2176","","-0,07%"
"23.12.2013","3,2282","3,2633","3,2699","3,2253","","-1,10%"
"20.12.2013","3,2642","3,2147","3,2670","3,2109","","1,51%"
"19.12.2013","3,2156","3,1829","3,2280","3,1815","","1,01%"
"18.12.2013","3,1835","3,1929","3,2509","3,1803","","-0,31%"
"17.12.2013","3,1933","3,2028","3,2088","3,1815","","-0,31%"
"16.12.2013","3,2033","3,2009","3,2185","3,1760","","0,03%"
"13.12.2013","3,2022","3,2106","3,2148","3,1940","","-0,20%"
"12.12.2013","3,2087","3,2273","3,2356","3,2013","","-0,58%"
"11.12.2013","3,2275","3,1765","3,2347","3,1716","","1,58%"
"10.12.2013","3,1773","3,1861","3,1936","3,1682","","-0,30%"
"09.12.2013","3,1870","3,1992","3,2041","3,1747","","-0,06%"
"06.12.2013","3,1889","3,2266","3,2388","3,1777","","-1,18%"
"05.12.2013","3,2271","3,2504","3,2606","3,2093","","-0,73%"
"04.12.2013","3,2508","3,2280","3,2519","3,2094","","0,68%"
"03.12.2013","3,2287","3,1896","3,2369","3,1854","","1,20%"
"02.12.2013","3,1903","3,1742","3,1960","3,1568","","0,50%"
"29.11.2013","3,1745","3,1525","3,1867","3,1429","","0,67%"
"28.11.2013","3,1533","3,1625","3,1859","3,1441","","-0,34%"
"27.11.2013","3,1639","3,1162","3,1653","3,1113","","1,50%"
"26.11.2013","3,1170","3,0864","3,1253","3,0857","","0,98%"
"25.11.2013","3,0869","3,0862","3,1018","3,0758","","-0,09%"
"22.11.2013","3,0896","3,1080","3,1330","3,0805","","-0,63%"
"21.11.2013","3,1093","3,0520","3,1196","3,0407","","1,84%"
"20.11.2013","3,0532","3,0738","3,0846","3,0459","","-0,71%"
"19.11.2013","3,0751","3,0551","3,0848","3,0379","","0,61%"
"18.11.2013","3,0565","3,1302","3,1357","3,0532","","-2,34%"
"15.11.2013","3,1296","3,1128","3,1302","3,1066","","0,49%"
"14.11.2013","3,1142","3,1456","3,1495","3,1096","","-1,05%"
"13.11.2013","3,1471","3,1342","3,1497","3,1087","","0,39%"
"12.11.2013","3,1349","3,1236","3,1500","3,1124","","0,33%"
"11.11.2013","3,1246","3,0917","3,1425","3,0830","","0,97%"
"08.11.2013","3,0945","3,0931","3,1353","3,0660","","0,01%"
"07.11.2013","3,0942","3,0868","3,1110","3,0300","","0,19%"
"06.11.2013","3,0883","3,0745","3,1068","3,0654","","0,42%"
"05.11.2013","3,0753","3,0338","3,0905","3,0238","","1,32%"
"04.11.2013","3,0353","3,0432","3,0506","3,0170","","-0,28%"
"01.11.2013","3,0437","3,0410","3,0520","3,0183","","0,02%"
"31.10.2013","3,0430","2,9988","3,0461","2,9810","","1,44%"
"30.10.2013","2,9999","3,0017","3,0195","2,9960","","-0,12%"
"29.10.2013","3,0034","3,0040","3,0128","2,9915","","-0,08%"
"28.10.2013","3,0057","3,0206","3,0254","3,0012","","-0,48%"
"25.10.2013","3,0202","3,0401","3,0484","3,0045","","-0,70%"
"24.10.2013","3,0415","3,0137","3,0517","3,0130","","0,90%"
"23.10.2013","3,0144","2,9932","3,0190","2,9840","","0,68%"
"22.10.2013","2,9940","2,9729","3,0024","2,9683","","0,68%"
"21.10.2013","2,9739","2,9671","2,9855","2,9585","","0,18%"
"18.10.2013","2,9686","2,9426","2,9817","2,9355","","0,85%"
"17.10.2013","2,9436","2,9504","2,9775","2,9399","","-0,26%"
"16.10.2013","2,9512","2,9445","2,9638","2,9034","","0,21%"
"15.10.2013","2,9451","2,9582","2,9626","2,9347","","-0,46%"
"14.10.2013","2,9587","2,9426","2,9817","2,9382","","0,50%"
"11.10.2013","2,9440","2,9466","2,9679","2,9418","","-0,11%"
"10.10.2013","2,9472","2,9838","2,9881","2,9335","","-1,29%"
"09.10.2013","2,9858","3,0004","3,0050","2,9700","","-0,53%"
"08.10.2013","3,0016","2,9938","3,0016","2,9773","","0,24%"
"07.10.2013","2,9945","2,9910","3,0138","2,9872","","-0,15%"
"04.10.2013","2,9991","3,0039","3,0100","2,9774","","-0,21%"
"03.10.2013","3,0055","2,9740","3,0156","2,9731","","1,00%"
"02.10.2013","2,9756","2,9957","3,0160","2,9740","","-0,71%"
"01.10.2013","2,9970","2,9964","3,0182","2,9769","","-0,03%"
"30.09.2013","2,9979","3,0330","3,0503","2,9885","","-1,53%"
"27.09.2013","3,0444","3,0282","3,0660","3,0237","","0,49%"
"26.09.2013","3,0297","3,0189","3,0322","2,9896","","0,34%"
"25.09.2013","3,0194","2,9645","3,0210","2,9573","","1,82%"
"24.09.2013","2,9655","2,9649","2,9821","2,9505","","-0,03%"
"23.09.2013","2,9665","2,9934","2,9967","2,9611","","-0,76%"
"20.09.2013","2,9891","2,9792","3,0046","2,9615","","0,30%"
"19.09.2013","2,9801","2,9548","2,9999","2,9475","","0,79%"
"18.09.2013","2,9566","3,0129","3,0172","2,9473","","-1,90%"
"17.09.2013","3,0138","3,0449","3,0539","3,0069","","-1,05%"
"16.09.2013","3,0458","3,0335","3,0515","3,0029","","0,47%"
"13.09.2013","3,0316","3,0237","3,0412","3,0141","","0,19%"
"12.09.2013","3,0257","3,0289","3,0412","3,0187","","-0,18%"
"11.09.2013","3,0313","3,0293","3,0682","3,0140","","0,08%"
"10.09.2013","3,0288","3,0164","3,0427","2,9914","","0,38%"
"09.09.2013","3,0173","3,0348","3,0441","3,0110","","-0,75%"
"06.09.2013","3,0401","3,0492","3,0549","2,9956","","-0,32%"
"05.09.2013","3,0498","3,1157","3,1368","3,0359","","-2,18%"
"04.09.2013","3,1178","3,1055","3,1256","3,0831","","0,35%"
"03.09.2013","3,1068","3,1358","3,1667","3,0981","","-0,97%"
"02.09.2013","3,1371","3,1520","3,1543","3,1080","","-0,59%"
"30.08.2013","3,1557","3,1233","3,1668","3,1053","","1,00%"
"29.08.2013","3,1246","3,1253","3,1555","3,0924","","-0,15%"
"28.08.2013","3,1292","3,1753","3,1902","3,0920","","-1,50%"
"27.08.2013","3,1768","3,1801","3,2251","3,1611","","-0,12%"
"26.08.2013","3,1807","3,1424","3,2044","3,1382","","1,20%"
"23.08.2013","3,1429","3,2485","3,2562","3,1381","","-3,35%"
"22.08.2013","3,2519","3,2769","3,2798","3,2300","","-0,76%"
"21.08.2013","3,2768","3,2109","3,2801","3,2059","","2,05%"
"20.08.2013","3,2109","3,2162","3,2379","3,1989","","-0,21%"
"19.08.2013","3,2176","3,1849","3,2404","3,1831","","0,89%"
"16.08.2013","3,1891","3,1231","3,1979","3,1185","","2,08%"
"15.08.2013","3,1242","3,0807","3,1307","3,0747","","1,40%"
"14.08.2013","3,0812","3,0682","3,0856","3,0533","","0,39%"
"13.08.2013","3,0692","3,0406","3,0740","3,0358","","0,89%"
"12.08.2013","3,0421","3,0251","3,0475","3,0060","","0,36%"
"09.08.2013","3,0312","3,0550","3,0568","3,0209","","-0,84%"
"08.08.2013","3,0568","3,0854","3,0876","3,0433","","-0,96%"
"07.08.2013","3,0865","3,0580","3,0903","3,0481","","0,89%"
"06.08.2013","3,0593","3,0564","3,0662","3,0417","","0,09%"
"05.08.2013","3,0564","3,0362","3,0591","3,0283","","0,59%"
"02.08.2013","3,0385","3,0418","3,0575","3,0223","","-0,16%"
"01.08.2013","3,0435","3,0276","3,0463","2,9998","","0,47%"
"31.07.2013","3,0292","3,0271","3,0568","3,0172","","0,03%"
"30.07.2013","3,0283","3,0083","3,0291","3,0035","","0,64%"
"29.07.2013","3,0089","2,9944","3,0124","2,9859","","0,40%"
"26.07.2013","2,9968","2,9771","2,9981","2,9692","","0,64%"
"25.07.2013","2,9777","2,9697","2,9965","2,9568","","0,20%"
"24.07.2013","2,9718","2,9254","2,9811","2,9174","","1,53%"
"23.07.2013","2,9269","2,9431","2,9543","2,9228","","-0,58%"
"22.07.2013","2,9440","2,9506","2,9648","2,9395","","-0,29%"
"19.07.2013","2,9527","2,9183","2,9543","2,9070","","1,13%"
"18.07.2013","2,9196","2,9202","2,9379","2,8971","","-0,05%"
"17.07.2013","2,9210","2,9632","2,9728","2,9134","","-1,50%"
"16.07.2013","2,9656","2,8976","2,9711","2,8921","","2,30%"
"15.07.2013","2,8989","2,9644","2,9699","2,8969","","-2,16%"
"12.07.2013","2,9630","2,9510","2,9686","2,9337","","0,39%"
"11.07.2013","2,9516","2,9369","3,0003","2,9341","","0,44%"
"10.07.2013","2,9387","2,8831","2,9409","2,8795","","1,87%"
"09.07.2013","2,8848","2,9134","2,9210","2,8826","","-1,00%"
"08.07.2013","2,9140","2,8881","2,9150","2,8827","","0,82%"
"05.07.2013","2,8903","2,9020","2,9144","2,8842","","-0,44%"
"04.07.2013","2,9030","2,9492","2,9518","2,9013","","-1,62%"
"03.07.2013","2,9508","2,9250","2,9558","2,9074","","0,84%"
"02.07.2013","2,9261","2,9104","2,9296","2,8971","","0,52%"
"01.07.2013","2,9111","2,9021","2,9176","2,8921","","0,24%"
"28.06.2013","2,9040","2,8660","2,9126","2,8573","","1,29%"
"27.06.2013","2,8669","2,8446","2,8676","2,8340","","0,74%"
"26.06.2013","2,8457","2,8964","2,8972","2,8394","","-1,75%"
"25.06.2013","2,8964","2,9195","2,9329","2,8883","","-0,82%"
"24.06.2013","2,9202","2,9441","2,9654","2,9057","","-0,75%"
"21.06.2013","2,9423","2,9833","3,0036","2,9348","","-1,42%"
"20.06.2013","2,9848","2,9563","3,0066","2,9338","","0,90%"
"19.06.2013","2,9581","2,9197","2,9731","2,9027","","1,25%"
"18.06.2013","2,9216","2,9004","2,9265","2,8815","","0,69%"
"17.06.2013","2,9017","2,8685","2,9056","2,8582","","0,98%"
"14.06.2013","2,8735","2,8373","2,8754","2,8195","","1,31%"
"13.06.2013","2,8364","2,8744","2,8878","2,8304","","-1,35%"
"12.06.2013","2,8751","2,8389","2,8776","2,8174","","1,25%"
"11.06.2013","2,8395","2,8443","2,8748","2,8306","","-0,20%"
"10.06.2013","2,8453","2,8157","2,8515","2,8101","","0,93%"
"07.06.2013","2,8192","2,8211","2,8542","2,8034","","-0,10%"
"06.06.2013","2,8221","2,7836","2,8318","2,7684","","1,24%"
"05.06.2013","2,7874","2,7789","2,8112","2,7222","","0,24%"
"04.06.2013","2,7807","2,7769","2,8111","2,7552","","0,11%"
