"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.03.2014","2,3636","2,3553","2,3678","2,3375","","0,48%"
"12.03.2014","2,3523","2,3638","2,3741","2,3526","","-0,49%"
"11.03.2014","2,3639","2,3496","2,3687","2,3378","","0,63%"
"10.03.2014","2,3491","2,3455","2,3566","2,3263","","0,38%"
"07.03.2014","2,3403","2,3235","2,3503","2,3221","","0,77%"
"06.03.2014","2,3225","2,3171","2,3249","2,2998","","0,20%"
"05.03.2014","2,3178","2,3410","2,3410","2,3143","","-0,97%"
"04.03.2014","2,3406","2,3431","2,3438","2,3412","","-0,14%"
"03.03.2014","2,3438","2,3384","2,3442","2,3384","","0,24%"
"28.02.2014","2,3381","2,3186","2,3476","2,3183","","0,71%"
"27.02.2014","2,3217","2,3510","2,3570","2,3182","","-1,18%"
"26.02.2014","2,3495","2,3422","2,3575","2,3338","","0,37%"
"25.02.2014","2,3408","2,3411","2,3454","2,3278","","0,08%"
"24.02.2014","2,3390","2,3471","2,3536","2,3270","","-0,27%"
"21.02.2014","2,3453","2,3691","2,3781","2,3417","","-1,05%"
"20.02.2014","2,3701","2,3976","2,3976","2,3631","","-0,99%"
"19.02.2014","2,3937","2,3960","2,4126","2,3846","","-0,05%"
"18.02.2014","2,3950","2,3886","2,4018","2,3841","","0,25%"
"17.02.2014","2,3890","2,3856","2,3930","2,3779","","0,01%"
"14.02.2014","2,3888","2,3946","2,3995","2,3789","","-0,19%"
"13.02.2014","2,3933","2,4261","2,4341","2,3924","","-1,31%"
"12.02.2014","2,4250","2,4002","2,4273","2,3974","","1,04%"
"11.02.2014","2,4000","2,4096","2,4186","2,3955","","-0,33%"
"10.02.2014","2,4080","2,3812","2,4114","2,3806","","1,19%"
"07.02.2014","2,3797","2,3815","2,3940","2,3696","","-0,10%"
"06.02.2014","2,3820","2,3986","2,4139","2,3773","","-0,67%"
"05.02.2014","2,3981","2,4094","2,4200","2,3925","","-0,30%"
"04.02.2014","2,4053","2,4307","2,4384","2,4050","","-1,41%"
"03.02.2014","2,4397","2,4127","2,4406","2,4001","","1,14%"
"31.01.2014","2,4122","2,4086","2,4377","2,3909","","0,04%"
"30.01.2014","2,4113","2,4371","2,4442","2,4080","","-0,96%"
"29.01.2014","2,4347","2,4226","2,4508","2,4226","","0,37%"
"28.01.2014","2,4258","2,4236","2,4305","2,4037","","0,22%"
"27.01.2014","2,4205","2,4010","2,4292","2,3903","","0,95%"
"24.01.2014","2,3977","2,4001","2,4329","2,3937","","0,09%"
"23.01.2014","2,3956","2,3726","2,4059","2,3681","","0,98%"
"22.01.2014","2,3723","2,3606","2,3769","2,3538","","0,64%"
"21.01.2014","2,3573","2,3436","2,3684","2,3410","","0,57%"
"20.01.2014","2,3440","2,3428","2,3445","2,3276","","0,07%"
"17.01.2014","2,3423","2,3617","2,3661","2,3393","","-0,89%"
"16.01.2014","2,3633","2,3601","2,3782","2,3445","","0,13%"
"15.01.2014","2,3603","2,3501","2,3609","2,3403","","0,43%"
"14.01.2014","2,3501","2,3574","2,3684","2,3481","","-0,40%"
"13.01.2014","2,3595","2,3616","2,3629","2,3387","","0,06%"
"10.01.2014","2,3582","2,3906","2,3976","2,3569","","-1,34%"
"09.01.2014","2,3902","2,3951","2,4040","2,3893","","-0,26%"
"08.01.2014","2,3964","2,3726","2,4005","2,3678","","1,03%"
"07.01.2014","2,3720","2,3806","2,3806","2,3553","","-0,16%"
"06.01.2014","2,3759","2,3811","2,3859","2,3709","","0,00%"
"03.01.2014","2,3760","2,3791","2,3892","2,3682","","-0,48%"
"02.01.2014","2,3874","2,3781","2,4099","2,3774","","1,08%"
"01.01.2014","2,3618","2,3618","2,3618","2,3618","","0,00%"
"31.12.2013","2,3618","2,3621","2,3621","2,3621","","0,00%"
"30.12.2013","2,3619","2,3385","2,3655","2,3261","","1,01%"
"27.12.2013","2,3382","2,3591","2,3591","2,3349","","-0,54%"
"26.12.2013","2,3510","2,3571","2,3648","2,3459","","-0,25%"
"25.12.2013","2,3568","2,3570","2,3571","2,3570","","0,00%"
"24.12.2013","2,3568","2,3571","2,3575","2,3570","","0,00%"
"23.12.2013","2,3568","2,3877","2,3883","2,3569","","-1,28%"
"20.12.2013","2,3874","2,3568","2,3896","2,3568","","1,46%"
"19.12.2013","2,3530","2,3318","2,3621","2,3313","","1,16%"
"18.12.2013","2,3260","2,3196","2,3636","2,3152","","0,30%"
"17.12.2013","2,3191","2,3306","2,3310","2,3143","","-0,37%"
"16.12.2013","2,3276","2,3325","2,3355","2,3088","","-0,08%"
"13.12.2013","2,3295","2,3351","2,3406","2,3265","","-0,11%"
"12.12.2013","2,3320","2,3415","2,3515","2,3245","","-0,38%"
"11.12.2013","2,3410","2,3066","2,3442","2,3066","","1,40%"
"10.12.2013","2,3087","2,3181","2,3198","2,3044","","-0,47%"
"09.12.2013","2,3195","2,3310","2,3323","2,3151","","-0,26%"
"06.12.2013","2,3255","2,3571","2,3750","2,3213","","-1,50%"
"05.12.2013","2,3609","2,3911","2,3960","2,3527","","-1,27%"
"04.12.2013","2,3912","2,3758","2,3925","2,3629","","0,66%"
"03.12.2013","2,3756","2,3541","2,3798","2,3488","","0,84%"
"02.12.2013","2,3557","2,3362","2,3591","2,3326","","0,86%"
"29.11.2013","2,3355","2,3181","2,3410","2,3102","","0,79%"
"28.11.2013","2,3173","2,3300","2,3438","2,3122","","-0,50%"
"27.11.2013","2,3290","2,2946","2,3319","2,2937","","1,42%"
"26.11.2013","2,2964","2,2838","2,3081","2,2838","","0,56%"
"25.11.2013","2,2835","2,2815","2,2970","2,2777","","0,24%"
"22.11.2013","2,2780","2,3056","2,3171","2,2763","","-1,19%"
"21.11.2013","2,3055","2,2703","2,3175","2,2703","","1,52%"
"20.11.2013","2,2710","2,2713","2,2736","2,2693","","0,02%"
"19.11.2013","2,2705","2,2638","2,2798","2,2503","","0,35%"
"18.11.2013","2,2625","2,3190","2,3190","2,2620","","-2,42%"
"15.11.2013","2,3187","2,3141","2,3190","2,3128","","0,25%"
"14.11.2013","2,3130","2,3343","2,3393","2,3128","","-0,84%"
"13.11.2013","2,3325","2,3331","2,3398","2,3196","","-0,02%"
"12.11.2013","2,3330","2,3309","2,3490","2,3230","","0,13%"
"11.11.2013","2,3300","2,3140","2,3438","2,3024","","0,71%"
"08.11.2013","2,3135","2,3057","2,3448","2,2945","","0,37%"
"07.11.2013","2,3050","2,2881","2,3137","2,2703","","0,90%"
"06.11.2013","2,2845","2,2823","2,2977","2,2690","","0,11%"
"05.11.2013","2,2820","2,2466","2,2948","2,2439","","1,64%"
"04.11.2013","2,2451","2,2542","2,2550","2,2368","","-0,50%"
"01.11.2013","2,2564","2,2350","2,2633","2,2350","","0,78%"
"31.10.2013","2,2390","2,1840","2,2413","2,1839","","2,54%"
"30.10.2013","2,1835","2,1850","2,1974","2,1801","","-0,02%"
"29.10.2013","2,1840","2,1805","2,1859","2,1742","","0,21%"
"28.10.2013","2,1795","2,1890","2,1890","2,1782","","-0,34%"
"25.10.2013","2,1870","2,2035","2,2045","2,1800","","-0,73%"
"24.10.2013","2,2030","2,1913","2,2092","2,1909","","0,69%"
"23.10.2013","2,1878","2,1725","2,1914","2,1723","","0,73%"
"22.10.2013","2,1720","2,1735","2,1901","2,1641","","-0,05%"
"21.10.2013","2,1730","2,1689","2,1829","2,1663","","0,21%"
"18.10.2013","2,1685","2,1524","2,1794","2,1467","","0,77%"
"17.10.2013","2,1520","2,1803","2,1821","2,1508","","-1,28%"
"16.10.2013","2,1800","2,1778","2,1853","2,1546","","0,14%"
"15.10.2013","2,1769","2,1818","2,1910","2,1759","","-0,20%"
"14.10.2013","2,1813","2,1790","2,1946","2,1640","","0,38%"
"11.10.2013","2,1730","2,1801","2,1880","2,1725","","-0,30%"
"10.10.2013","2,1796","2,2068","2,2076","2,1685","","-1,22%"
"09.10.2013","2,2065","2,2112","2,2150","2,1995","","-0,20%"
"08.10.2013","2,2109","2,2047","2,2119","2,1946","","0,29%"
"07.10.2013","2,2044","2,2071","2,2208","2,2012","","-0,32%"
"04.10.2013","2,2114","2,2076","2,2133","2,1979","","0,24%"
"03.10.2013","2,2060","2,1913","2,2140","2,1909","","0,70%"
"02.10.2013","2,1906","2,2160","2,2245","2,1911","","-1,10%"
"01.10.2013","2,2149","2,2163","2,2306","2,1965","","-0,03%"
"30.09.2013","2,2156","2,2566","2,2600","2,2097","","-1,59%"
"27.09.2013","2,2515","2,2459","2,2650","2,2440","","0,29%"
"26.09.2013","2,2451","2,2324","2,2492","2,2151","","0,58%"
"25.09.2013","2,2321","2,1991","2,2351","2,1976","","1,44%"
"24.09.2013","2,2005","2,1985","2,2131","2,1874","","0,11%"
"23.09.2013","2,1980","2,2102","2,2165","2,1948","","-0,53%"
"20.09.2013","2,2097","2,2026","2,2220","2,1905","","0,35%"
"19.09.2013","2,2021","2,1840","2,2167","2,1792","","0,76%"
"18.09.2013","2,1855","2,2548","2,2590","2,1830","","-3,10%"
"17.09.2013","2,2555","2,2840","2,2858","2,2523","","-1,24%"
"16.09.2013","2,2839","2,2503","2,2855","2,2480","","0,20%"
"13.09.2013","2,2793","2,2748","2,2874","2,2685","","0,23%"
"12.09.2013","2,2740","2,2768","2,2896","2,2689","","-0,09%"
"11.09.2013","2,2760","2,2838","2,3078","2,2646","","-0,32%"
"10.09.2013","2,2833","2,2768","2,2947","2,2594","","0,32%"
"09.09.2013","2,2760","2,2981","2,3074","2,2719","","-1,32%"
"06.09.2013","2,3065","2,3252","2,3257","2,2805","","-0,77%"
"05.09.2013","2,3243","2,3597","2,3748","2,3152","","-1,50%"
"04.09.2013","2,3597","2,3587","2,3656","2,3415","","0,06%"
"03.09.2013","2,3582","2,3775","2,4043","2,3526","","-0,81%"
"02.09.2013","2,3774","2,3826","2,3861","2,3548","","-0,36%"
"30.08.2013","2,3859","2,3594","2,3973","2,3469","","1,14%"
"29.08.2013","2,3590","2,3468","2,3823","2,3340","","0,68%"
"28.08.2013","2,3430","2,3699","2,3910","2,3204","","-1,19%"
"27.08.2013","2,3712","2,3790","2,4185","2,3612","","-0,32%"
"26.08.2013","2,3789","2,3489","2,3964","2,3482","","1,30%"
"23.08.2013","2,3483","2,4337","2,4363","2,3461","","-3,52%"
"22.08.2013","2,4340","2,4524","2,4549","2,4177","","-0,73%"
"21.08.2013","2,4520","2,3936","2,4554","2,3925","","2,45%"
"20.08.2013","2,3933","2,4128","2,4131","2,3836","","-0,79%"
"19.08.2013","2,4123","2,3926","2,4283","2,3844","","0,84%"
"16.08.2013","2,3923","2,3407","2,3985","2,3400","","2,23%"
"15.08.2013","2,3401","2,3246","2,3518","2,3135","","0,69%"
"14.08.2013","2,3241","2,3145","2,3281","2,3038","","0,45%"
"13.08.2013","2,3136","2,2876","2,3175","2,2858","","1,19%"
"12.08.2013","2,2865","2,2685","2,2907","2,2628","","0,66%"
"09.08.2013","2,2714","2,2846","2,2848","2,2633","","-0,53%"
"08.08.2013","2,2834","2,3139","2,3143","2,2738","","-1,31%"
"07.08.2013","2,3136","2,2992","2,3164","2,2926","","0,66%"
"06.08.2013","2,2985","2,3058","2,3086","2,2873","","-0,30%"
"05.08.2013","2,3055","2,2891","2,3072","2,2855","","0,82%"
"02.08.2013","2,2868","2,3048","2,3135","2,2765","","-0,72%"
"01.08.2013","2,3035","2,2764","2,3060","2,2691","","1,19%"
"31.07.2013","2,2764","2,2823","2,3031","2,2741","","-0,27%"
"30.07.2013","2,2825","2,2698","2,2844","2,2642","","0,62%"
"29.07.2013","2,2685","2,2522","2,2712","2,2522","","0,53%"
"26.07.2013","2,2565","2,2435","2,2580","2,2397","","0,62%"
"25.07.2013","2,2425","2,2507","2,2655","2,2348","","-0,34%"
"24.07.2013","2,2501","2,2131","2,2579","2,2130","","1,69%"
"23.07.2013","2,2127","2,2331","2,2406","2,2107","","-0,86%"
"22.07.2013","2,2320","2,2468","2,2492","2,2291","","-0,64%"
"19.07.2013","2,2464","2,2249","2,2491","2,2158","","0,91%"
"18.07.2013","2,2262","2,2255","2,2427","2,2149","","0,05%"
"17.07.2013","2,2251","2,2523","2,2645","2,2206","","-1,23%"
"16.07.2013","2,2528","2,2200","2,2589","2,2068","","1,55%"
"15.07.2013","2,2185","2,2695","2,2727","2,2186","","-2,14%"
"12.07.2013","2,2671","2,2550","2,2718","2,2534","","0,60%"
"11.07.2013","2,2535","2,2644","2,2729","2,2497","","-0,45%"
"10.07.2013","2,2637","2,2546","2,2809","2,2546","","0,34%"
"09.07.2013","2,2561","2,2644","2,2653","2,2571","","-0,34%"
"08.07.2013","2,2639","2,2526","2,2653","2,2445","","0,55%"
"05.07.2013","2,2515","2,2478","2,2703","2,2438","","0,18%"
"04.07.2013","2,2475","2,2682","2,2729","2,2475","","-0,89%"
"03.07.2013","2,2676","2,2547","2,2718","2,2505","","0,60%"
"02.07.2013","2,2540","2,2287","2,2553","2,2263","","1,17%"
"01.07.2013","2,2280","2,2290","2,2373","2,2165","","-0,16%"
"28.06.2013","2,2315","2,1982","2,2345","2,1982","","1,49%"
"27.06.2013","2,1987","2,1868","2,1991","2,1753","","0,56%"
"26.06.2013","2,1865","2,2137","2,2143","2,1841","","-1,23%"
"25.06.2013","2,2137","2,2263","2,2311","2,2043","","-0,54%"
"24.06.2013","2,2257","2,2453","2,2649","2,2144","","-0,70%"
"21.06.2013","2,2415","2,2588","2,2753","2,2348","","-0,73%"
"20.06.2013","2,2580","2,2249","2,2777","2,2227","","1,54%"
"19.06.2013","2,2238","2,1818","2,2360","2,1667","","2,01%"
"18.06.2013","2,1800","2,1704","2,1862","2,1598","","0,47%"
"17.06.2013","2,1698","2,1493","2,1782","2,1434","","0,84%"
"14.06.2013","2,1517","2,1214","2,1541","2,1197","","1,42%"
"13.06.2013","2,1215","2,1556","2,1559","2,1171","","-1,55%"
"12.06.2013","2,1550","2,1327","2,1583","2,1233","","1,09%"
"11.06.2013","2,1318","2,1464","2,1666","2,1272","","-0,65%"
"10.06.2013","2,1457","2,1378","2,1600","2,1334","","0,70%"
"07.06.2013","2,1308","2,1300","2,1535","2,1242","","0,04%"
"06.06.2013","2,1299","2,1271","2,1323","2,1136","","0,08%"
"05.06.2013","2,1282","2,1258","2,1496","2,0841","","0,16%"
"04.06.2013","2,1249","2,1246","2,1500","2,1105","","0,04%"
"03.06.2013","2,1240","2,1440","2,1440","2,1237","","-0,83%"
"31.05.2013","2,1418","2,1215","2,1513","2,1165","","1,53%"
"30.05.2013","2,1095","2,1097","2,1103","2,1097","","-0,03%"
"29.05.2013","2,1101","2,0759","2,1155","2,0693","","1,70%"
"28.05.2013","2,0749","2,0568","2,0765","2,0511","","1,00%"
"27.05.2013","2,0543","2,0519","2,0576","2,0473","","0,15%"
"24.05.2013","2,0512","2,0445","2,0561","2,0426","","0,36%"
"23.05.2013","2,0439","2,0490","2,0561","2,0416","","-0,23%"
"22.05.2013","2,0487","2,0404","2,0518","2,0312","","0,40%"
"21.05.2013","2,0406","2,0397","2,0469","2,0316","","0,08%"
"20.05.2013","2,0390","2,0360","2,0412","2,0264","","0,22%"
"17.05.2013","2,0345","2,0268","2,0416","2,0254","","0,39%"
"16.05.2013","2,0265","2,0224","2,0380","2,0217","","0,22%"
"15.05.2013","2,0220","2,0209","2,0336","2,0147","","0,10%"
"14.05.2013","2,0199","2,0081","2,0216","2,0027","","0,63%"
"13.05.2013","2,0072","2,0172","2,0246","2,0064","","-0,62%"
"10.05.2013","2,0198","2,0113","2,0299","2,0113","","0,34%"
"09.05.2013","2,0130","2,0054","2,0167","1,9945","","0,41%"
"08.05.2013","2,0047","2,0090","2,0092","1,9978","","-0,14%"
"07.05.2013","2,0075","2,0091","2,0149","2,0015","","-0,09%"
"06.05.2013","2,0093","2,0103","2,0176","2,0083","","0,03%"
"03.05.2013","2,0087","2,0102","2,0149","2,0047","","-0,01%"
"02.05.2013","2,0090","2,0046","2,0162","1,9993","","0,40%"
"01.05.2013","2,0010","2,0016","2,0085","2,0010","","0,00%"
"30.04.2013","2,0010","2,0081","2,0130","1,9960","","-0,32%"
"29.04.2013","2,0075","2,0002","2,0092","1,9908","","0,45%"
"26.04.2013","1,9985","2,0019","2,0045","1,9958","","-0,13%"
"25.04.2013","2,0012","2,0110","2,0141","2,0012","","-0,46%"
"24.04.2013","2,0104","2,0248","2,0264","2,0085","","-0,70%"
