"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2014","6,42","6,59","6,63","6,40","5,46M","-2,13%"
"29.12.2014","6,56","6,62","6,64","6,54","3,90M","-1,06%"
"26.12.2014","6,63","6,60","6,67","6,54","3,04M","0,30%"
"23.12.2014","6,61","6,67","6,70","6,53","6,22M","-0,30%"
"22.12.2014","6,63","6,61","6,68","6,51","6,20M","0,91%"
"19.12.2014","6,57","6,34","6,57","6,34","8,37M","4,45%"
"18.12.2014","6,29","6,41","6,54","6,29","11,57M","0,48%"
"17.12.2014","6,26","5,87","6,33","5,82","21,57M","7,93%"
"16.12.2014","5,80","5,82","6,06","5,73","15,36M","-2,85%"
"15.12.2014","5,97","6,44","6,44","5,94","15,89M","-4,78%"
"12.12.2014","6,27","6,61","6,66","6,27","13,78M","-5,57%"
"11.12.2014","6,64","6,44","6,68","6,34","9,63M","4,24%"
"10.12.2014","6,37","6,72","6,76","6,36","11,59M","-4,93%"
"09.12.2014","6,70","6,67","6,87","6,66","11,26M","-2,47%"
"08.12.2014","6,87","7,19","7,28","6,75","8,91M","-5,24%"
"05.12.2014","7,25","7,16","7,26","7,06","7,57M","2,26%"
"04.12.2014","7,09","7,29","7,32","7,06","8,41M","-1,39%"
"03.12.2014","7,19","7,23","7,33","7,14","7,57M","0,56%"
"02.12.2014","7,15","7,45","7,54","7,11","13,05M","-2,99%"
"01.12.2014","7,37","7,75","7,88","7,28","16,01M","-6,71%"
"28.11.2014","7,90","7,83","7,93","7,79","7,19M","1,80%"
"27.11.2014","7,76","7,67","7,95","7,67","14,24M","1,04%"
"26.11.2014","7,68","7,91","7,99","7,61","13,75M","-1,29%"
"25.11.2014","7,78","7,72","7,94","7,72","16,40M","1,43%"
"24.11.2014","7,67","8,04","8,28","7,67","17,43M","-3,40%"
"21.11.2014","7,94","7,46","7,97","7,46","25,01M","8,32%"
"19.11.2014","7,33","6,93","7,33","6,93","20,56M","5,92%"
"18.11.2014","6,92","6,74","6,94","6,65","10,35M","3,59%"
"17.11.2014","6,68","6,72","6,84","6,63","16,40M","2,45%"
"14.11.2014","6,52","6,60","6,60","6,31","21,34M","-1,51%"
"13.11.2014","6,62","6,84","6,84","6,62","9,89M","-1,49%"
"12.11.2014","6,72","6,58","6,82","6,55","12,84M","2,60%"
"11.11.2014","6,55","6,60","6,76","6,50","12,81M","-1,36%"
"10.11.2014","6,64","7,01","7,12","6,64","12,80M","-3,91%"
"07.11.2014","6,91","6,80","6,99","6,71","14,00M","2,52%"
"06.11.2014","6,74","6,98","6,98","6,62","18,51M","-4,13%"
"05.11.2014","7,03","7,29","7,36","7,03","36,64M","-7,98%"
"04.11.2014","7,64","7,41","7,64","7,26","20,09M","5,09%"
"03.11.2014","7,27","7,25","7,33","7,10","15,55M","-1,36%"
"31.10.2014","7,37","7,35","7,43","7,06","25,31M","1,80%"
"30.10.2014","7,24","6,91","7,36","6,91","19,33M","6,94%"
"29.10.2014","6,77","6,91","7,05","6,75","21,79M","-2,59%"
"28.10.2014","6,95","6,80","7,00","6,65","20,52M","7,25%"
"27.10.2014","6,48","6,01","6,58","5,98","54,73M","-5,26%"
"24.10.2014","6,84","6,75","7,21","6,66","31,34M","3,17%"
"23.10.2014","6,63","7,17","7,21","6,59","33,84M","-9,05%"
"22.10.2014","7,29","7,48","7,65","7,26","18,81M","-2,41%"
"21.10.2014","7,47","7,35","7,52","7,20","47,37M","-6,74%"
"20.10.2014","8,01","8,41","8,45","8,01","19,57M","-5,76%"
"17.10.2014","8,50","8,45","8,57","8,35","25,25M","2,66%"
"16.10.2014","8,28","8,11","8,52","8,08","30,72M","-2,59%"
