"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2014","2,43","2,44","2,48","2,41","4,83M","-0,82%"
"29.12.2014","2,45","2,44","2,47","2,42","3,28M","0,00%"
"26.12.2014","2,45","2,42","2,49","2,40","1,84M","2,08%"
"23.12.2014","2,40","2,34","2,42","2,32","2,63M","2,13%"
"22.12.2014","2,35","2,28","2,36","2,28","4,83M","3,07%"
"19.12.2014","2,28","2,24","2,32","2,20","3,85M","0,88%"
"18.12.2014","2,26","2,32","2,39","2,25","5,89M","-3,00%"
"17.12.2014","2,33","2,29","2,34","2,23","12,95M","2,19%"
"16.12.2014","2,28","2,26","2,32","2,23","8,48M","-1,30%"
"15.12.2014","2,31","2,31","2,42","2,29","7,30M","0,00%"
"12.12.2014","2,31","2,22","2,38","2,21","7,31M","3,59%"
"11.12.2014","2,23","2,25","2,27","2,23","4,34M","-0,89%"
"10.12.2014","2,25","2,21","2,28","2,20","2,97M","1,35%"
"09.12.2014","2,22","2,21","2,23","2,18","2,92M","-0,45%"
"08.12.2014","2,23","2,25","2,32","2,21","2,05M","-1,76%"
"05.12.2014","2,27","2,29","2,31","2,25","4,50M","-1,73%"
"04.12.2014","2,31","2,35","2,37","2,26","4,26M","-1,70%"
"03.12.2014","2,35","2,36","2,37","2,29","1,53M","0,86%"
"02.12.2014","2,33","2,29","2,35","2,28","4,57M","1,30%"
"01.12.2014","2,30","2,37","2,40","2,26","4,61M","-3,77%"
"28.11.2014","2,39","2,43","2,49","2,39","2,82M","-2,05%"
"27.11.2014","2,44","2,40","2,49","2,39","2,59M","2,52%"
"26.11.2014","2,38","2,37","2,41","2,36","2,61M","1,28%"
"25.11.2014","2,35","2,43","2,50","2,35","8,14M","-2,89%"
"24.11.2014","2,42","2,47","2,47","2,40","5,97M","0,00%"
"21.11.2014","2,42","2,27","2,45","2,26","7,38M","7,08%"
"19.11.2014","2,26","2,20","2,30","2,19","4,41M","3,20%"
"18.11.2014","2,19","2,14","2,19","2,13","4,52M","2,82%"
"17.11.2014","2,13","2,16","2,19","2,12","2,36M","-0,93%"
"14.11.2014","2,15","2,09","2,21","2,08","5,82M","0,47%"
"13.11.2014","2,14","2,20","2,20","2,14","4,13M","-2,73%"
"12.11.2014","2,20","2,20","2,25","2,17","3,60M","0,00%"
"11.11.2014","2,20","2,23","2,23","2,17","4,79M","-1,35%"
"10.11.2014","2,23","2,26","2,26","2,21","6,91M","0,00%"
"07.11.2014","2,23","2,19","2,23","2,12","4,21M","6,70%"
"06.11.2014","2,09","2,13","2,14","2,09","4,77M","-1,88%"
"05.11.2014","2,13","2,17","2,18","2,12","4,23M","-3,18%"
"04.11.2014","2,20","2,22","2,22","2,16","4,92M","-0,45%"
"03.11.2014","2,21","2,16","2,21","2,12","3,77M","2,79%"
"31.10.2014","2,15","2,11","2,18","2,07","7,56M","2,87%"
"30.10.2014","2,09","2,02","2,09","2,01","5,80M","4,50%"
"29.10.2014","2,00","1,98","2,03","1,96","7,57M","0,50%"
"28.10.2014","1,99","1,88","1,99","1,88","7,59M","5,85%"
"27.10.2014","1,88","1,86","1,94","1,79","11,65M","-5,05%"
"24.10.2014","1,98","1,92","2,03","1,90","8,06M","2,59%"
"23.10.2014","1,93","2,01","2,01","1,93","8,82M","-4,46%"
"22.10.2014","2,02","1,98","2,10","1,98","7,01M","1,51%"
"21.10.2014","1,99","2,09","2,10","1,98","11,64M","-6,13%"
"20.10.2014","2,12","2,15","2,16","2,10","6,43M","-2,30%"
"17.10.2014","2,17","2,13","2,18","2,11","7,57M","2,36%"
"16.10.2014","2,12","2,11","2,15","2,09","7,33M","-2,75%"
"15.10.2014","2,18","2,17","2,21","2,10","8,18M","-1,80%"
"14.10.2014","2,22","2,29","2,29","2,20","7,75M","-2,63%"
"13.10.2014","2,28","2,27","2,33","2,27","5,80M","1,79%"
"10.10.2014","2,24","2,28","2,30","2,23","6,82M","-1,75%"
"09.10.2014","2,28","2,39","2,41","2,24","9,25M","-3,39%"
"08.10.2014","2,36","2,39","2,40","2,33","6,68M","0,00%"
"07.10.2014","2,36","2,36","2,42","2,34","4,55M","1,72%"
"06.10.2014","2,32","2,45","2,47","2,28","15,09M","5,94%"
"03.10.2014","2,19","2,11","2,19","2,08","4,55M","3,79%"
"02.10.2014","2,11","2,08","2,12","2,07","6,30M","0,48%"
"01.10.2014","2,10","2,11","2,17","2,06","10,34M","1,45%"
"30.09.2014","2,07","2,06","2,09","2,05","6,85M","-0,48%"
"29.09.2014","2,08","2,06","2,11","2,06","5,05M","-3,26%"
"26.09.2014","2,15","2,11","2,15","2,10","3,47M","1,90%"
"25.09.2014","2,11","2,07","2,13","2,07","17,78M","1,44%"
"24.09.2014","2,08","2,05","2,09","2,03","7,95M","0,97%"
"23.09.2014","2,06","2,07","2,14","2,05","3,62M","-1,44%"
"22.09.2014","2,09","2,13","2,14","2,06","6,99M","-2,79%"
"19.09.2014","2,15","2,16","2,19","2,15","5,43M","-0,92%"
"18.09.2014","2,17","2,21","2,21","2,17","5,00M","-2,25%"
"17.09.2014","2,22","2,25","2,26","2,22","6,85M","-1,33%"
"16.09.2014","2,25","2,20","2,27","2,19","10,26M","1,81%"
"15.09.2014","2,21","2,24","2,27","2,18","9,30M","-1,78%"
"12.09.2014","2,25","2,25","2,27","2,23","4,51M","-1,75%"
"11.09.2014","2,29","2,34","2,34","2,27","6,62M","-1,29%"
"10.09.2014","2,32","2,30","2,34","2,29","8,38M","-0,43%"
"09.09.2014","2,33","2,37","2,43","2,32","8,29M","-4,12%"
"08.09.2014","2,43","2,52","2,53","2,43","4,16M","-2,80%"
"05.09.2014","2,50","2,51","2,54","2,50","3,94M","-0,40%"
"04.09.2014","2,51","2,47","2,54","2,46","5,97M","0,80%"
"03.09.2014","2,49","2,51","2,54","2,46","5,18M","-0,40%"
"02.09.2014","2,50","2,48","2,52","2,44","3,48M","0,81%"
"01.09.2014","2,48","2,47","2,54","2,47","2,49M","0,40%"
"29.08.2014","2,47","2,45","2,49","2,44","5,79M","1,23%"
"28.08.2014","2,44","2,46","2,51","2,44","10,47M","-0,81%"
"27.08.2014","2,46","2,36","2,47","2,36","3,52M","4,68%"
"26.08.2014","2,35","2,42","2,42","2,35","6,23M","-2,49%"
"25.08.2014","2,41","2,46","2,46","2,41","10,03M","-1,23%"
"22.08.2014","2,44","2,41","2,45","2,39","3,47M","0,83%"
"21.08.2014","2,42","2,36","2,43","2,36","5,72M","2,11%"
"20.08.2014","2,37","2,27","2,37","2,25","11,13M","4,87%"
"19.08.2014","2,26","2,22","2,26","2,22","16,55M","1,35%"
"18.08.2014","2,23","2,27","2,27","2,23","6,43M","-1,33%"
"15.08.2014","2,26","2,22","2,26","2,22","9,73M","0,89%"
"14.08.2014","2,24","2,23","2,28","2,23","7,44M","-0,44%"
"13.08.2014","2,25","2,31","2,32","2,22","12,66M","-1,75%"
"12.08.2014","2,29","2,33","2,33","2,29","3,49M","-1,72%"
"11.08.2014","2,33","2,34","2,34","2,32","11,42M","0,43%"
"08.08.2014","2,32","2,31","2,33","2,30","4,39M","-0,43%"
"07.08.2014","2,33","2,32","2,34","2,31","4,12M","0,87%"
"06.08.2014","2,31","2,26","2,32","2,25","3,34M","1,76%"
"05.08.2014","2,27","2,31","2,31","2,25","3,71M","-2,16%"
"04.08.2014","2,32","2,28","2,32","2,24","5,43M","1,75%"
"01.08.2014","2,28","2,18","2,28","2,15","5,83M","4,11%"
"31.07.2014","2,19","2,24","2,25","2,15","6,00M","-3,52%"
"30.07.2014","2,27","2,34","2,37","2,27","3,07M","-2,16%"
"29.07.2014","2,32","2,39","2,39","2,32","2,48M","-2,93%"
"28.07.2014","2,39","2,36","2,40","2,35","4,26M","1,70%"
"25.07.2014","2,35","2,37","2,38","2,33","2,48M","-0,84%"
"24.07.2014","2,37","2,36","2,38","2,33","6,63M","0,42%"
"23.07.2014","2,36","2,38","2,42","2,33","6,40M","-1,67%"
"22.07.2014","2,40","2,37","2,40","2,36","7,27M","1,69%"
"21.07.2014","2,36","2,33","2,38","2,31","5,24M","1,29%"
"18.07.2014","2,33","2,29","2,33","2,28","4,23M","3,56%"
"17.07.2014","2,25","2,22","2,25","2,21","6,24M","0,90%"
"16.07.2014","2,23","2,24","2,27","2,18","8,41M","-0,45%"
"15.07.2014","2,24","2,23","2,28","2,23","9,80M","0,00%"
"14.07.2014","2,24","2,18","2,25","2,16","8,20M","3,70%"
"11.07.2014","2,16","2,12","2,17","2,10","7,10M","2,37%"
"10.07.2014","2,11","2,08","2,11","2,07","14,78M","2,43%"
"08.07.2014","2,06","2,06","2,08","2,06","2,07M","0,00%"
"07.07.2014","2,06","2,08","2,09","2,05","8,15M","-1,90%"
"04.07.2014","2,10","2,05","2,11","2,04","1,96M","3,45%"
"03.07.2014","2,03","2,01","2,03","2,00","3,26M","0,50%"
"02.07.2014","2,02","2,06","2,06","1,99","4,29M","-1,46%"
"01.07.2014","2,05","2,15","2,15","2,04","3,56M","-2,84%"
"30.06.2014","2,11","2,09","2,11","2,07","5,87M","0,96%"
"27.06.2014","2,09","2,07","2,12","2,07","2,23M","0,00%"
"26.06.2014","2,09","2,07","2,10","2,02","4,93M","1,95%"
"25.06.2014","2,05","2,03","2,07","2,00","3,47M","0,49%"
"24.06.2014","2,04","2,06","2,12","1,98","10,65M","0,00%"
"23.06.2014","2,04","2,08","2,09","2,04","6,53M","-2,86%"
"20.06.2014","2,10","2,17","2,18","2,10","7,11M","-3,23%"
