"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"28.02.2025","7,25","7,24","7,33","7,19","17,05M","0,28%"
"27.02.2025","7,23","7,26","7,28","7,22","10,93M","-0,41%"
"26.02.2025","7,26","7,23","7,27","7,20","12,12M","0,69%"
"25.02.2025","7,21","7,26","7,28","7,18","8,93M","-0,69%"
"24.02.2025","7,26","7,20","7,33","7,17","13,98M","0,83%"
"21.02.2025","7,20","7,28","7,33","7,13","21,41M","-1,23%"
"20.02.2025","7,29","7,35","7,38","7,21","33,54M","-0,82%"
"19.02.2025","7,35","7,55","7,65","7,31","29,95M","-2,00%"
"18.02.2025","7,50","7,44","7,52","7,38","24,71M","0,94%"
"17.02.2025","7,43","7,38","7,46","7,36","20,96M","0,54%"
"14.02.2025","7,39","7,39","7,42","7,33","38,22M","0,14%"
"13.02.2025","7,38","7,30","7,40","7,26","45,65M","1,23%"
"12.02.2025","7,29","7,20","7,34","7,15","111,47M","2,68%"
"11.02.2025","7,10","6,46","7,65","6,44","87,65M","10,08%"
"10.02.2025","6,45","6,24","6,47","6,23","7,14M","3,86%"
"07.02.2025","6,21","6,25","6,32","6,15","8,79M","-0,80%"
"06.02.2025","6,26","6,19","6,47","6,17","20,38M","0,00%"
"05.02.2025","6,26","6,24","6,34","6,06","8,12M","0,97%"
"04.02.2025","6,20","6,31","6,32","6,04","17,18M","-2,52%"
"03.02.2025","6,36","6,19","6,37","6,12","9,58M","2,75%"
"31.01.2025","6,19","6,28","6,31","6,14","10,96M","-1,43%"
"30.01.2025","6,28","6,07","6,41","6,07","11,02M","3,63%"
"29.01.2025","6,06","6,06","6,12","5,92","6,34M","0,17%"
"28.01.2025","6,05","5,95","6,14","5,89","9,20M","1,17%"
"27.01.2025","5,98","5,43","6,16","5,41","17,44M","3,10%"
"24.01.2025","5,80","5,94","6,13","5,79","12,22M","-2,36%"
"23.01.2025","5,94","6,07","6,13","5,87","15,29M","-1,66%"
"22.01.2025","6,04","5,92","6,06","5,77","12,57M","2,72%"
"21.01.2025","5,88","5,79","5,88","5,72","8,62M","1,38%"
"20.01.2025","5,80","5,61","5,86","5,54","10,01M","2,65%"
"17.01.2025","5,65","5,57","5,65","5,47","16,86M","1,62%"
"16.01.2025","5,56","5,45","5,56","5,27","23,16M","0,00%"
"15.01.2025","5,56","5,40","5,59","5,25","28,77M","4,32%"
"14.01.2025","5,33","5,28","5,33","5,11","20,62M","1,52%"
"13.01.2025","5,25","5,46","5,50","5,23","15,44M","-4,37%"
"10.01.2025","5,49","5,53","5,53","5,32","19,73M","-0,72%"
"09.01.2025","5,53","5,44","5,62","5,38","12,25M","2,41%"
"08.01.2025","5,40","6,03","6,04","5,34","28,15M","-12,20%"
"07.01.2025","6,15","5,88","6,16","5,85","20,09M","5,31%"
"06.01.2025","5,84","5,45","5,86","5,39","15,31M","9,98%"
