"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2014","5,80","5,97","6,04","5,79","2,18M","-2,03%"
"29.12.2014","5,92","5,98","6,15","5,92","1,53M","1,02%"
"26.12.2014","5,86","5,59","5,96","5,58","1,50M","4,46%"
"23.12.2014","5,61","5,58","5,74","5,55","1,50M","-0,36%"
"22.12.2014","5,63","5,60","5,70","5,51","1,63M","1,26%"
"19.12.2014","5,56","5,50","5,66","5,43","2,76M","1,09%"
"18.12.2014","5,50","5,61","5,78","5,47","2,37M","-1,79%"
"17.12.2014","5,60","5,17","5,64","5,12","4,23M","8,74%"
"16.12.2014","5,15","5,29","5,31","4,99","3,92M","-4,45%"
"15.12.2014","5,39","5,31","5,48","5,31","3,71M","0,19%"
"12.12.2014","5,38","5,25","5,52","5,20","3,73M","1,51%"
"11.12.2014","5,30","5,32","5,36","5,14","2,98M","0,00%"
"10.12.2014","5,30","5,48","5,57","5,21","2,38M","-3,81%"
"09.12.2014","5,51","5,60","5,66","5,40","3,37M","-2,82%"
"08.12.2014","5,67","5,69","5,73","5,63","2,61M","0,18%"
"05.12.2014","5,66","5,85","5,89","5,60","3,32M","-3,74%"
"04.12.2014","5,88","5,90","5,99","5,74","2,62M","-0,34%"
"03.12.2014","5,90","5,80","5,96","5,64","2,01M","1,72%"
"02.12.2014","5,80","5,66","5,83","5,54","3,51M","3,20%"
"01.12.2014","5,62","5,91","5,98","5,55","2,59M","-6,64%"
"28.11.2014","6,02","6,07","6,14","6,01","1,42M","-0,33%"
"27.11.2014","6,04","6,11","6,17","6,02","1,39M","-0,17%"
"26.11.2014","6,05","6,18","6,20","6,05","1,01M","-0,98%"
"25.11.2014","6,11","6,05","6,23","6,00","2,30M","0,49%"
"24.11.2014","6,08","6,18","6,30","6,05","3,76M","-0,16%"
"21.11.2014","6,09","5,77","6,09","5,77","3,79M","7,03%"
"19.11.2014","5,69","5,23","5,74","5,20","4,70M","8,17%"
"18.11.2014","5,26","5,22","5,30","4,96","7,71M","0,96%"
"17.11.2014","5,21","5,60","5,60","5,21","5,76M","-7,79%"
"14.11.2014","5,65","5,77","5,81","5,51","4,06M","-4,88%"
"13.11.2014","5,94","6,05","6,13","5,91","1,53M","-1,49%"
"12.11.2014","6,03","6,04","6,19","5,99","1,35M","-0,82%"
"11.11.2014","6,08","5,96","6,12","5,95","1,43M","1,00%"
"10.11.2014","6,02","5,95","6,10","5,88","1,86M","2,73%"
"07.11.2014","5,86","5,85","5,95","5,67","2,38M","0,69%"
"06.11.2014","5,82","5,99","6,01","5,77","1,31M","-3,00%"
"05.11.2014","6,00","6,03","6,05","5,95","2,69M","-0,99%"
"04.11.2014","6,06","6,14","6,14","5,98","1,49M","0,33%"
"03.11.2014","6,04","6,17","6,18","5,92","5,16M","-2,89%"
"31.10.2014","6,22","6,15","6,22","5,87","2,28M","3,67%"
"30.10.2014","6,00","5,80","6,01","5,79","3,42M","4,35%"
"29.10.2014","5,75","5,60","5,78","5,60","3,73M","1,41%"
"28.10.2014","5,67","5,65","5,68","5,39","4,62M","5,59%"
"27.10.2014","5,37","5,26","5,52","5,19","9,49M","-11,68%"
"24.10.2014","6,08","5,77","6,21","5,73","4,19M","6,67%"
"23.10.2014","5,70","6,10","6,11","5,70","4,79M","-6,71%"
"22.10.2014","6,11","6,32","6,38","5,99","2,80M","-2,86%"
"21.10.2014","6,29","6,32","6,57","6,17","3,68M","-7,09%"
"20.10.2014","6,77","6,99","7,00","6,70","3,01M","-3,15%"
"17.10.2014","6,99","6,71","7,02","6,65","4,18M","6,72%"
"16.10.2014","6,55","6,56","6,70","6,50","2,66M","-3,82%"
"15.10.2014","6,81","6,91","6,97","6,57","2,62M","-3,68%"
"14.10.2014","7,07","7,05","7,15","6,85","2,96M","-1,12%"
"13.10.2014","7,15","7,08","7,27","6,95","4,32M","6,08%"
"10.10.2014","6,74","7,00","7,06","6,66","2,30M","-4,80%"
"09.10.2014","7,08","7,23","7,25","7,04","2,10M","1,00%"
"08.10.2014","7,01","7,30","7,35","6,87","3,72M","-2,09%"
"07.10.2014","7,16","7,08","7,27","6,95","3,28M","3,17%"
"06.10.2014","6,94","7,30","7,44","6,79","5,76M","9,29%"
"03.10.2014","6,35","6,30","6,39","6,21","1,89M","2,25%"
"02.10.2014","6,21","6,36","6,43","6,16","2,33M","-1,43%"
"01.10.2014","6,30","6,50","6,53","6,22","1,97M","-3,96%"
"30.09.2014","6,56","6,90","6,92","6,51","3,93M","-4,65%"
"29.09.2014","6,88","6,81","7,14","6,81","1,80M","-6,14%"
"26.09.2014","7,33","7,03","7,44","7,02","1,81M","4,12%"
"25.09.2014","7,04","7,10","7,13","6,98","1,16M","-0,28%"
"24.09.2014","7,06","7,10","7,14","6,96","2,25M","-0,56%"
"23.09.2014","7,10","7,20","7,31","7,07","1,83M","-2,34%"
"22.09.2014","7,27","7,45","7,45","7,05","2,66M","-3,96%"
"19.09.2014","7,57","7,61","7,79","7,42","2,60M","-2,20%"
"18.09.2014","7,74","7,84","7,84","7,58","1,55M","-1,53%"
"17.09.2014","7,86","7,85","7,99","7,82","2,72M","2,75%"
"16.09.2014","7,65","7,34","7,75","7,24","3,68M","5,08%"
"15.09.2014","7,28","7,38","7,41","7,20","1,60M","-0,82%"
"12.09.2014","7,34","7,26","7,43","7,18","3,06M","-0,68%"
"11.09.2014","7,39","7,46","7,56","7,34","2,65M","0,54%"
"10.09.2014","7,35","7,27","7,38","7,09","3,20M","0,82%"
"09.09.2014","7,29","7,39","7,70","7,28","3,97M","-2,80%"
"08.09.2014","7,50","8,00","8,18","7,42","3,73M","-3,97%"
"05.09.2014","7,81","7,93","8,09","7,70","1,80M","-1,76%"
"04.09.2014","7,95","8,10","8,25","7,90","3,24M","-3,99%"
"03.09.2014","8,28","8,44","8,65","8,15","4,33M","-0,84%"
"02.09.2014","8,35","8,56","8,73","8,32","3,90M","-2,91%"
"01.09.2014","8,60","8,30","8,88","8,30","5,13M","5,52%"
"29.08.2014","8,15","7,75","8,18","7,64","4,68M","5,30%"
"28.08.2014","7,74","7,88","8,08","7,59","4,69M","-3,25%"
"27.08.2014","8,00","7,54","8,14","7,54","4,76M","6,52%"
"26.08.2014","7,51","7,33","7,53","7,32","2,22M","2,46%"
"25.08.2014","7,33","7,25","7,35","7,18","2,34M","2,23%"
"22.08.2014","7,17","7,17","7,26","7,13","1,03M","-0,55%"
"21.08.2014","7,21","7,04","7,26","7,04","4,01M","1,84%"
"20.08.2014","7,08","6,90","7,09","6,83","2,05M","2,91%"
"19.08.2014","6,88","6,80","6,89","6,75","1,27M","1,18%"
"18.08.2014","6,80","6,95","6,98","6,79","1,39M","-0,29%"
"15.08.2014","6,82","6,62","6,85","6,62","3,10M","3,65%"
"14.08.2014","6,58","6,49","6,62","6,40","1,65M","1,39%"
"13.08.2014","6,49","6,64","6,71","6,45","2,56M","-2,26%"
"12.08.2014","6,64","6,57","6,78","6,56","1,18M","-1,04%"
"11.08.2014","6,71","6,62","6,78","6,62","1,34M","1,36%"
"08.08.2014","6,62","6,47","6,64","6,41","1,45M","2,00%"
"07.08.2014","6,49","6,51","6,52","6,41","1,29M","0,31%"
"06.08.2014","6,47","6,35","6,49","6,31","2,60M","1,57%"
"05.08.2014","6,37","6,38","6,46","6,31","1,90M","-0,47%"
"04.08.2014","6,40","6,25","6,40","6,22","1,17M","1,75%"
"01.08.2014","6,29","6,23","6,32","6,19","2,13M","0,64%"
"31.07.2014","6,25","6,26","6,30","6,20","1,76M","-1,42%"
"30.07.2014","6,34","6,39","6,43","6,28","1,11M","-0,47%"
"29.07.2014","6,37","6,37","6,41","6,25","1,07M","-0,31%"
"28.07.2014","6,39","6,60","6,64","6,37","1,69M","-2,89%"
"25.07.2014","6,58","6,64","6,65","6,55","1,02M","-0,60%"
"24.07.2014","6,62","6,58","6,69","6,58","2,06M","0,61%"
"23.07.2014","6,58","6,74","6,76","6,56","2,01M","-3,80%"
"22.07.2014","6,84","7,03","7,15","6,80","4,00M","-1,58%"
"21.07.2014","6,95","6,80","6,99","6,75","1,90M","1,46%"
"18.07.2014","6,85","6,67","6,86","6,53","5,32M","6,20%"
"17.07.2014","6,45","6,53","6,61","6,42","1,67M","-1,23%"
"16.07.2014","6,53","6,77","6,77","6,43","1,61M","-1,95%"
"15.07.2014","6,66","6,60","6,68","6,58","1,69M","1,37%"
"14.07.2014","6,57","6,31","6,61","6,31","3,64M","4,45%"
"11.07.2014","6,29","6,37","6,38","6,27","1,23M","-0,94%"
"10.07.2014","6,35","6,53","6,56","6,31","2,28M","-0,63%"
"08.07.2014","6,39","6,41","6,45","6,32","681,40K","0,16%"
"07.07.2014","6,38","6,19","6,38","6,16","998,70K","2,41%"
"04.07.2014","6,23","6,20","6,29","6,17","349,80K","0,48%"
"03.07.2014","6,20","6,15","6,22","6,05","1,12M","0,00%"
"02.07.2014","6,20","6,15","6,23","6,11","946,40K","0,81%"
"01.07.2014","6,15","6,42","6,44","6,12","2,37M","-3,76%"
"30.06.2014","6,39","6,45","6,47","6,30","1,80M","-0,78%"
"27.06.2014","6,44","6,51","6,53","6,31","885,90K","-1,08%"
"26.06.2014","6,51","6,54","6,58","6,46","1,25M","0,00%"
"25.06.2014","6,51","6,48","6,64","6,42","3,30M","-0,15%"
"24.06.2014","6,52","6,55","6,69","6,45","2,46M","-0,46%"
"23.06.2014","6,55","6,61","6,70","6,53","1,07M","-0,46%"
"20.06.2014","6,58","6,90","6,90","6,58","3,83M","-5,60%"
"18.06.2014","6,97","6,78","6,99","6,75","2,05M","3,26%"
"17.06.2014","6,75","6,89","6,93","6,75","1,30M","-2,03%"
"16.06.2014","6,89","7,06","7,09","6,81","2,16M","-1,43%"
"13.06.2014","6,99","7,09","7,15","6,95","1,78M","-1,55%"
"11.06.2014","7,10","7,42","7,50","7,04","3,82M","-2,74%"
"10.06.2014","7,30","7,25","7,36","7,18","1,86M","0,97%"
"09.06.2014","7,23","7,16","7,44","6,98","3,45M","1,12%"
"06.06.2014","7,15","6,88","7,23","6,77","4,77M","9,33%"
"05.06.2014","6,54","6,65","6,65","6,53","1,25M","-1,06%"
"04.06.2014","6,61","6,65","6,65","6,57","710,20K","-0,45%"
"03.06.2014","6,64","6,56","6,69","6,50","1,35M","1,22%"
"02.06.2014","6,56","6,65","6,73","6,55","911,70K","-0,46%"
"30.05.2014","6,59","6,75","6,78","6,59","1,08M","-2,08%"
"29.05.2014","6,73","6,66","6,79","6,66","576,00K","0,60%"
"28.05.2014","6,69","6,70","6,77","6,52","1,61M","-0,15%"
"27.05.2014","6,70","6,88","6,92","6,66","1,09M","-2,90%"
"26.05.2014","6,90","6,95","6,95","6,85","437,70K","0,15%"
"23.05.2014","6,89","6,97","7,03","6,85","761,20K","-0,58%"
"22.05.2014","6,93","6,89","7,02","6,84","1,15M","1,46%"
"21.05.2014","6,83","6,97","7,08","6,73","1,74M","-1,44%"
"20.05.2014","6,93","7,15","7,30","6,93","1,74M","-3,08%"
"19.05.2014","7,15","7,32","7,32","7,11","1,43M","-2,46%"
"16.05.2014","7,33","7,34","7,53","7,33","1,68M","2,37%"
"15.05.2014","7,16","7,54","7,54","7,13","2,68M","-5,04%"
"14.05.2014","7,54","7,45","7,54","7,34","1,66M","2,72%"
"13.05.2014","7,34","7,22","7,44","7,22","1,52M","1,66%"
"12.05.2014","7,22","6,99","7,36","6,84","2,26M","3,88%"
"09.05.2014","6,95","7,56","7,64","6,89","3,21M","-7,58%"
"08.05.2014","7,52","7,53","7,63","7,35","1,57M","-0,13%"
"07.05.2014","7,53","7,70","7,85","7,47","4,99M","-3,21%"
"06.05.2014","7,78","7,76","7,83","7,68","1,69M","0,78%"
"05.05.2014","7,72","7,48","7,90","7,45","2,80M","2,25%"
"02.05.2014","7,55","7,40","7,55","7,28","4,76M","2,30%"
"30.04.2014","7,38","7,57","7,59","7,22","4,91M","-2,51%"
"29.04.2014","7,57","7,36","7,58","7,36","3,05M","3,70%"
"28.04.2014","7,30","7,23","7,35","7,12","2,52M","0,41%"
"25.04.2014","7,27","7,43","7,49","7,16","2,41M","-2,81%"
"24.04.2014","7,48","7,55","7,56","7,40","1,44M","-0,40%"
"23.04.2014","7,51","7,48","7,58","7,44","2,18M","0,27%"
"22.04.2014","7,49","7,26","7,57","7,24","3,73M","2,88%"
"17.04.2014","7,28","7,11","7,35","6,93","2,87M","3,26%"
"16.04.2014","7,05","6,91","7,10","6,88","2,75M","3,22%"
"15.04.2014","6,83","6,86","6,95","6,76","2,96M","-0,87%"
"14.04.2014","6,89","6,72","6,89","6,62","1,52M","2,38%"
"11.04.2014","6,73","6,61","6,77","6,54","1,60M","1,36%"
"10.04.2014","6,64","6,44","6,82","6,42","3,39M","2,63%"
"09.04.2014","6,47","6,93","6,95","6,33","4,58M","-6,64%"
"08.04.2014","6,93","7,12","7,21","6,85","4,10M","-1,28%"
"07.04.2014","7,02","7,02","7,07","6,92","3,01M","3,08%"
"04.04.2014","6,81","7,01","7,12","6,79","3,94M","-1,87%"
"03.04.2014","6,94","6,68","6,96","6,59","4,23M","3,74%"
"02.04.2014","6,69","6,43","7,01","6,38","5,00M","4,53%"
"01.04.2014","6,40","6,30","6,42","6,00","3,73M","2,24%"
"31.03.2014","6,26","6,01","6,28","5,99","3,38M","4,68%"
"28.03.2014","5,98","6,10","6,29","5,96","5,36M","-0,83%"
"27.03.2014","6,03","5,56","6,15","5,56","6,89M","9,84%"
"26.03.2014","5,49","5,54","5,60","5,45","1,56M","-0,36%"
"25.03.2014","5,51","5,56","5,61","5,45","3,35M","-1,96%"
"24.03.2014","5,62","5,50","5,65","5,44","1,73M","2,93%"
"21.03.2014","5,46","5,15","5,56","5,15","4,76M","-0,18%"
"20.03.2014","5,47","5,22","5,82","5,12","5,85M","4,19%"
"19.03.2014","5,25","4,89","5,28","4,89","2,49M","6,28%"
"18.03.2014","4,94","4,69","4,98","4,67","2,34M","4,88%"
"17.03.2014","4,71","4,66","4,73","4,65","1,86M","1,51%"
"14.03.2014","4,64","4,86","4,88","4,59","2,63M","-3,33%"
"13.03.2014","4,80","4,71","4,90","4,71","2,62M","2,13%"
"12.03.2014","4,70","4,47","4,72","4,46","3,06M","5,38%"
"11.03.2014","4,46","4,39","4,57","4,39","1,90M","1,59%"
"10.03.2014","4,39","4,45","4,47","4,34","1,61M","-0,90%"
"07.03.2014","4,43","4,66","4,68","4,41","2,69M","-4,73%"
"06.03.2014","4,65","4,69","4,69","4,60","1,81M","0,00%"
"05.03.2014","4,65","4,76","4,78","4,65","1,33M","-1,90%"
"28.02.2014","4,74","4,79","4,83","4,66","2,44M","0,00%"
"27.02.2014","4,74","4,53","4,80","4,53","2,30M","5,57%"
"26.02.2014","4,49","4,65","4,67","4,49","2,23M","-0,88%"
"25.02.2014","4,53","4,49","4,54","4,46","1,85M","0,44%"
"24.02.2014","4,51","4,64","4,65","4,49","1,61M","-3,01%"
"21.02.2014","4,65","4,55","4,71","4,49","1,24M","2,65%"
"20.02.2014","4,53","4,45","4,59","4,39","1,17M","1,34%"
"19.02.2014","4,47","4,34","4,53","4,32","1,98M","3,00%"
"18.02.2014","4,34","4,53","4,55","4,34","3,66M","-3,98%"
"17.02.2014","4,52","4,78","4,78","4,51","1,74M","-5,44%"
"14.02.2014","4,78","4,85","4,89","4,77","1,02M","-0,62%"
"13.02.2014","4,81","4,79","4,84","4,67","1,37M","0,00%"
"12.02.2014","4,81","4,88","4,88","4,80","1,48M","0,21%"
"11.02.2014","4,80","4,78","4,86","4,73","1,94M","1,27%"
"10.02.2014","4,74","4,84","4,90","4,74","2,91M","-2,87%"
"07.02.2014","4,88","4,82","4,90","4,75","2,78M","1,88%"
"06.02.2014","4,79","4,79","4,98","4,71","2,24M","1,27%"
"05.02.2014","4,73","4,79","4,82","4,64","1,82M","-0,63%"
"04.02.2014","4,76","4,82","4,90","4,74","2,92M","-0,21%"
"03.02.2014","4,77","4,89","4,97","4,74","2,05M","-3,64%"
"31.01.2014","4,95","4,88","4,96","4,86","3,53M","1,64%"
"30.01.2014","4,87","4,91","5,02","4,87","2,29M","-0,61%"
"29.01.2014","4,90","4,95","5,00","4,90","1,76M","-1,61%"
"28.01.2014","4,98","4,98","5,06","4,98","1,40M","0,61%"
"27.01.2014","4,95","4,95","5,00","4,81","1,82M","1,02%"
