"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"28.02.2025","11,09","11,44","11,80","11,09","10,00M","-0,27%"
"27.02.2025","11,12","11,18","11,36","11,12","3,72M","-0,54%"
"26.02.2025","11,18","11,55","11,56","11,18","4,50M","-2,19%"
"25.02.2025","11,43","11,72","11,76","11,43","2,96M","-2,14%"
"24.02.2025","11,68","11,82","11,91","11,62","1,99M","-0,51%"
"21.02.2025","11,74","11,90","11,91","11,66","2,92M","-1,18%"
"20.02.2025","11,88","11,81","12,07","11,80","4,73M","-0,17%"
"19.02.2025","11,90","12,05","12,20","11,90","2,09M","-1,90%"
"18.02.2025","12,13","12,46","12,46","12,04","4,14M","-2,49%"
"17.02.2025","12,44","12,45","12,66","12,33","2,56M","-0,08%"
"14.02.2025","12,45","11,81","12,47","11,75","4,65M","5,78%"
"13.02.2025","11,77","11,95","11,95","11,64","3,49M","-1,75%"
"12.02.2025","11,98","12,35","12,35","11,98","3,62M","-4,08%"
"11.02.2025","12,49","12,01","12,56","11,93","3,03M","5,05%"
"10.02.2025","11,89","11,79","12,15","11,79","2,45M","1,71%"
"07.02.2025","11,69","11,47","11,69","11,42","3,07M","1,83%"
"06.02.2025","11,48","11,50","11,63","11,45","2,37M","-0,52%"
"05.02.2025","11,54","11,86","11,88","11,54","2,36M","-2,62%"
"04.02.2025","11,85","11,88","12,03","11,79","2,46M","-0,25%"
"03.02.2025","11,88","11,91","12,02","11,74","2,28M","0,34%"
"31.01.2025","11,84","11,93","11,99","11,79","3,35M","-0,75%"
"30.01.2025","11,93","11,50","12,10","11,50","4,06M","3,74%"
"29.01.2025","11,50","11,66","11,74","11,45","3,91M","-1,20%"
"28.01.2025","11,64","11,96","11,96","11,64","2,53M","-2,76%"
"27.01.2025","11,97","11,57","12,08","11,54","4,58M","3,37%"
"24.01.2025","11,58","11,49","11,84","11,42","5,95M","1,22%"
"23.01.2025","11,44","11,87","11,87","11,44","2,52M","-2,56%"
"22.01.2025","11,74","11,71","11,74","11,50","4,06M","1,21%"
"21.01.2025","11,60","11,77","11,80","11,58","2,82M","-1,44%"
"20.01.2025","11,77","11,45","11,77","11,41","1,72M","1,99%"
"17.01.2025","11,54","11,37","11,55","11,27","2,90M","1,67%"
"16.01.2025","11,35","11,70","11,70","11,21","4,12M","-3,49%"
"15.01.2025","11,76","11,82","11,89","11,65","4,60M","1,12%"
"14.01.2025","11,63","11,55","11,70","11,49","2,03M","0,69%"
"13.01.2025","11,55","11,82","11,90","11,54","3,62M","-2,45%"
"10.01.2025","11,84","12,07","12,09","11,78","2,73M","-1,91%"
"09.01.2025","12,07","12,11","12,14","12,02","1,33M","-0,33%"
"08.01.2025","12,11","12,15","12,22","12,05","2,65M","-1,06%"
"07.01.2025","12,24","12,32","12,43","12,17","2,46M","-0,33%"
"06.01.2025","12,28","12,05","12,30","12,00","2,53M","2,76%"
"03.01.2025","11,95","12,09","12,15","11,91","5,68M","-0,67%"
"02.01.2025","12,03","12,10","12,13","11,76","3,70M","-0,33%"
"30.12.2024","12,07","12,29","12,34","12,07","3,38M","-1,39%"
"27.12.2024","12,24","12,23","12,40","12,19","2,51M","0,66%"
"26.12.2024","12,16","12,33","12,35","12,16","1,57M","-1,70%"
"23.12.2024","12,37","12,59","12,68","12,25","1,94M","-2,29%"
"20.12.2024","12,66","12,44","12,66","12,36","2,94M","2,01%"
"19.12.2024","12,41","12,21","12,48","12,17","2,65M","2,22%"
"18.12.2024","12,14","12,66","12,68","12,14","3,53M","-4,11%"
"17.12.2024","12,66","12,84","12,84","12,55","4,27M","-1,09%"
"16.12.2024","12,80","12,98","13,03","12,76","2,60M","-0,90%"
"13.12.2024","12,92","13,06","13,16","12,91","2,11M","-1,35%"
"12.12.2024","13,09","13,45","13,45","13,08","3,89M","-3,06%"
"11.12.2024","13,51","13,21","13,59","13,05","4,60M","3,00%"
"10.12.2024","13,11","13,01","13,19","12,95","3,07M","1,60%"
"09.12.2024","12,91","12,94","12,98","12,79","3,57M","0,23%"
"06.12.2024","12,88","12,94","13,03","12,87","2,24M","-0,76%"
"05.12.2024","12,98","13,17","13,30","12,98","3,11M","-0,30%"
"04.12.2024","13,01","13,30","13,48","12,96","2,88M","-2,14%"
"03.12.2024","13,30","13,00","13,30","12,98","3,77M","2,11%"
"02.12.2024","13,02","13,02","13,32","12,98","6,56M","0,46%"
"29.11.2024","12,97","13,10","13,13","12,73","5,96M","-0,75%"
"28.11.2024","13,06","13,43","13,43","12,96","4,18M","-2,28%"
"27.11.2024","13,37","13,81","13,83","13,31","2,44M","-3,21%"
"26.11.2024","13,81","13,68","13,95","13,58","3,02M","1,01%"
"25.11.2024","13,67","13,32","13,93","13,32","3,46M","2,36%"
"22.11.2024","13,36","13,39","13,42","13,19","2,03M","0,82%"
"21.11.2024","13,25","13,62","13,62","13,25","2,25M","-2,74%"
"19.11.2024","13,62","13,36","13,62","13,23","2,35M","2,29%"
"18.11.2024","13,32","13,53","13,56","13,24","2,78M","-1,67%"
"14.11.2024","13,55","13,66","13,83","13,46","2,59M","-1,08%"
"13.11.2024","13,69","13,59","13,81","13,56","2,75M","0,22%"
"12.11.2024","13,66","13,76","13,77","13,48","2,61M","-0,50%"
"11.11.2024","13,73","13,38","13,84","13,31","2,91M","2,65%"
"08.11.2024","13,38","14,03","14,16","13,27","7,41M","-5,75%"
"07.11.2024","14,19","14,07","14,36","14,00","4,01M","0,07%"
"06.11.2024","14,19","14,14","14,24","14,02","2,26M","-0,76%"
"05.11.2024","14,29","14,34","14,37","14,05","3,85M","-0,14%"
"04.11.2024","14,31","14,29","14,39","14,19","2,75M","2,18%"
"01.11.2024","14,01","14,52","14,52","13,94","4,64M","-3,91%"
"31.10.2024","14,58","14,56","14,79","14,54","3,36M","-0,54%"
"30.10.2024","14,66","14,56","14,70","14,46","1,57M","0,74%"
"29.10.2024","14,55","15,02","15,02","14,39","4,23M","-2,38%"
"28.10.2024","14,90","14,90","15,02","14,86","1,73M","0,80%"
"25.10.2024","14,79","14,90","14,98","14,74","1,54M","-0,73%"
"24.10.2024","14,89","14,87","14,91","14,74","2,31M","0,26%"
"23.10.2024","14,85","14,79","14,87","14,66","2,87M","-0,13%"
"22.10.2024","14,87","14,56","14,93","14,55","3,22M","1,07%"
"21.10.2024","14,72","14,74","14,76","14,61","3,67M","0,27%"
"18.10.2024","14,68","14,75","14,80","14,53","2,79M","0,07%"
"17.10.2024","14,67","14,92","14,92","14,49","3,18M","-2,23%"
"16.10.2024","15,00","14,88","15,03","14,76","4,86M","1,26%"
"15.10.2024","14,81","14,55","14,83","14,50","2,37M","1,76%"
"14.10.2024","14,56","14,56","14,61","14,39","2,23M","-0,07%"
"11.10.2024","14,57","14,56","14,58","14,32","1,97M","0,34%"
"10.10.2024","14,52","14,63","14,67","14,47","4,34M","-1,27%"
"09.10.2024","14,71","14,81","14,81","14,61","3,54M","-1,32%"
"08.10.2024","14,90","14,69","14,90","14,68","2,62M","0,60%"
"07.10.2024","14,81","14,97","15,06","14,70","3,48M","-0,59%"
"04.10.2024","14,90","14,90","14,90","14,73","3,71M","0,00%"
"03.10.2024","14,90","14,80","14,92","14,77","3,98M","-0,39%"
"02.10.2024","14,96","14,96","15,03","14,85","5,79M","0,46%"
"01.10.2024","14,89","15,20","15,29","14,86","4,49M","-1,88%"
"30.09.2024","15,18","15,28","15,33","15,13","3,29M","-1,03%"
"27.09.2024","15,34","15,30","15,46","15,28","2,02M","-0,13%"
"26.09.2024","15,36","15,68","15,68","15,25","3,54M","-1,64%"
"25.09.2024","15,61","15,80","15,83","15,48","2,72M","-1,37%"
"24.09.2024","15,83","15,99","16,06","15,71","2,48M","-0,06%"
"23.09.2024","15,84","16,00","16,09","15,79","2,39M","-2,13%"
"20.09.2024","16,18","16,25","16,26","15,93","3,62M","-0,54%"
"19.09.2024","16,27","16,39","16,45","16,21","2,04M","-0,42%"
"18.09.2024","16,34","16,18","16,50","16,18","1,49M","0,30%"
"17.09.2024","16,29","16,32","16,37","16,17","1,49M","-0,18%"
"16.09.2024","16,32","16,39","16,43","16,26","1,55M","-0,48%"
"13.09.2024","16,40","16,45","16,52","16,27","1,48M","0,42%"
"12.09.2024","16,33","16,29","16,38","16,11","1,52M","0,06%"
"11.09.2024","16,32","16,19","16,36","16,09","2,14M","0,73%"
"10.09.2024","16,20","16,23","16,30","16,08","3,10M","-0,96%"
"09.09.2024","16,36","16,40","16,50","16,28","3,50M","-0,60%"
"06.09.2024","16,46","16,43","16,60","16,27","2,29M","-0,42%"
"05.09.2024","16,53","16,39","16,53","16,11","2,77M","0,54%"
"04.09.2024","16,44","15,96","16,58","15,96","4,82M","3,60%"
"03.09.2024","15,87","15,59","15,95","15,49","3,05M","2,28%"
"02.09.2024","15,51","15,82","15,82","15,35","2,53M","-1,13%"
"30.08.2024","15,69","15,62","15,69","15,41","11,80M","0,06%"
"29.08.2024","15,68","15,85","15,95","15,58","3,08M","-1,06%"
"28.08.2024","15,85","15,79","15,85","15,63","2,73M","0,37%"
"27.08.2024","15,79","15,81","15,92","15,73","1,21M","0,19%"
"26.08.2024","15,76","15,69","15,81","15,59","1,51M","0,12%"
"23.08.2024","15,74","15,74","16,02","15,67","3,82M","0,31%"
"22.08.2024","15,69","15,79","15,81","15,58","3,39M","-0,62%"
"21.08.2024","15,79","15,50","15,81","15,48","7,05M","1,33%"
"20.08.2024","15,58","15,56","15,70","15,40","3,87M","-0,13%"
"19.08.2024","15,60","15,54","15,73","15,51","2,59M","0,83%"
"16.08.2024","15,47","15,38","15,53","15,35","2,52M","0,64%"
"15.08.2024","15,38","15,35","15,50","15,23","2,34M","0,56%"
"14.08.2024","15,29","15,26","15,43","15,15","3,31M","0,19%"
"13.08.2024","15,26","15,22","15,34","15,15","3,45M","1,60%"
"12.08.2024","15,02","15,40","15,43","15,02","5,37M","-1,58%"
"09.08.2024","15,26","15,11","15,40","14,92","10,38M","1,86%"
"08.08.2024","14,98","14,77","15,02","14,66","2,52M","1,63%"
"07.08.2024","14,74","14,63","14,74","14,48","1,96M","1,12%"
"06.08.2024","14,58","14,66","14,80","14,47","2,36M","-0,66%"
