"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"11.03.2025","13.286,15","13.224,19","13.286,15","13.123,56","","0,47%"
"10.03.2025","13.224,19","13.295,09","13.300,89","13.150,92","","-0,53%"
"07.03.2025","13.295,09","13.299,26","13.356,18","13.245,19","","-0,03%"
"06.03.2025","13.299,26","13.151,40","13.329,37","13.151,40","","1,12%"
"05.03.2025","13.151,40","13.070,24","13.163,97","13.042,18","","0,62%"
"04.03.2025","13.070,24","13.186,40","13.186,40","13.041,38","","-0,88%"
"03.03.2025","13.186,40","13.224,39","13.317,09","13.139,56","","-0,29%"
"28.02.2025","13.224,39","13.400,70","13.489,33","13.217,66","","-1,32%"
"27.02.2025","13.400,70","13.293,10","13.410,85","13.285,48","","0,81%"
"26.02.2025","13.293,10","13.212,90","13.301,03","13.196,54","","0,61%"
"25.02.2025","13.212,90","13.365,51","13.365,51","13.181,78","","-1,14%"
"24.02.2025","13.365,51","13.415,16","13.473,86","13.309,15","","-0,37%"
"21.02.2025","13.415,16","13.310,46","13.457,84","13.300,20","","0,79%"
"20.02.2025","13.310,46","13.358,93","13.358,93","13.275,95","","-0,36%"
"19.02.2025","13.358,93","13.324,31","13.398,13","13.278,69","","0,26%"
"18.02.2025","13.324,31","13.337,54","13.478,95","13.284,87","","-0,10%"
"17.02.2025","13.337,54","13.356,72","13.407,46","13.265,18","","-0,14%"
"14.02.2025","13.356,72","13.232,85","13.368,67","13.218,30","","0,94%"
"13.02.2025","13.232,85","13.170,51","13.331,77","13.142,58","","0,47%"
"12.02.2025","13.170,51","13.027,41","13.186,27","12.985,62","","1,10%"
"11.02.2025","13.027,41","13.071,05","13.113,68","12.989,77","","-0,33%"
"10.02.2025","13.071,05","13.064,93","13.126,97","12.998,43","","0,05%"
"07.02.2025","13.064,93","12.902,72","13.138,38","12.854,00","","1,26%"
"06.02.2025","12.902,72","12.776,26","12.907,50","12.742,25","","0,99%"
"05.02.2025","12.776,26","12.946,20","13.015,22","12.757,83","","-1,31%"
"27.01.2025","12.946,20","12.936,73","13.027,28","12.928,17","0,00K","0,07%"
"24.01.2025","12.936,73","12.897,12","13.029,10","12.841,54","0,00K","0,31%"
"23.01.2025","12.897,12","12.815,68","13.059,65","12.815,68","0,00K","0,64%"
"22.01.2025","12.815,68","13.007,80","13.010,71","12.780,62","0,00K","-1,48%"
"21.01.2025","13.007,80","13.020,53","13.081,66","12.977,55","0,00K","-0,10%"
"20.01.2025","13.020,53","12.931,80","13.115,19","12.931,80","0,00K","0,69%"
"17.01.2025","12.931,80","12.933,00","13.005,79","12.858,98","0,00K","-0,01%"
"16.01.2025","12.933,00","12.960,84","13.070,42","12.877,88","0,00K","-0,21%"
"15.01.2025","12.960,84","13.009,75","13.052,41","12.942,49","0,00K","-0,38%"
"14.01.2025","13.009,75","12.744,51","13.042,39","12.726,86","0,00K","2,08%"
"13.01.2025","12.744,51","12.781,59","12.799,05","12.650,38","","-0,29%"
"10.01.2025","12.781,59","12.914,33","12.949,85","12.781,59","0,00K","-1,03%"
"09.01.2025","12.914,33","12.991,31","12.994,13","12.877,59","0,00K","-0,59%"
"08.01.2025","12.991,31","13.013,60","13.062,24","12.857,14","0,00K","-0,17%"
"07.01.2025","13.013,60","12.990,01","13.028,96","12.893,20","0,00K","0,18%"
"06.01.2025","12.990,01","13.043,18","13.068,32","12.866,56","0,00K","-0,41%"
"03.01.2025","13.043,18","13.141,49","13.195,31","13.008,66","0,00K","-0,75%"
"02.01.2025","13.141,49","13.512,87","13.521,00","13.067,19","0,00K","-2,75%"
"31.12.2024","13.512,87","13.653,74","13.711,98","13.512,87","0,00K","-1,03%"
