"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2014","2,26","2,27","2,33","2,26","997,59K","-0,88%"
"29.12.2014","2,28","2,22","2,28","2,21","470,78K","2,70%"
"26.12.2014","2,22","2,21","2,30","2,21","1,11M","-1,33%"
"23.12.2014","2,25","2,26","2,31","2,21","1,02M","0,00%"
"22.12.2014","2,25","2,25","2,29","2,19","1,08M","0,90%"
"19.12.2014","2,23","2,20","2,26","2,18","778,94K","2,76%"
"18.12.2014","2,17","2,19","2,22","2,15","672,36K","0,00%"
"17.12.2014","2,17","2,14","2,20","2,10","2,03M","1,40%"
"16.12.2014","2,14","2,11","2,15","2,07","1,44M","1,90%"
"15.12.2014","2,10","2,16","2,16","2,08","1,01M","-1,41%"
"12.12.2014","2,13","2,24","2,24","2,12","1,20M","-5,33%"
"11.12.2014","2,25","2,28","2,28","2,24","1,14M","-1,75%"
"10.12.2014","2,29","2,26","2,34","2,23","1,11M","1,78%"
"09.12.2014","2,25","2,24","2,25","2,22","202,87K","0,45%"
"08.12.2014","2,24","2,31","2,32","2,20","803,09K","-3,45%"
"05.12.2014","2,32","2,30","2,33","2,28","809,53K","0,87%"
"04.12.2014","2,30","2,42","2,42","2,27","2,56M","-2,95%"
"03.12.2014","2,37","2,37","2,40","2,31","2,87M","1,72%"
"02.12.2014","2,33","2,34","2,36","2,29","1,37M","0,43%"
"01.12.2014","2,32","2,33","2,37","2,30","1,21M","-1,28%"
"28.11.2014","2,35","2,39","2,40","2,30","2,27M","-2,08%"
"27.11.2014","2,40","2,40","2,42","2,37","1,07M","0,84%"
"26.11.2014","2,38","2,40","2,43","2,37","1,17M","-0,42%"
"25.11.2014","2,39","2,51","2,54","2,39","2,69M","-4,40%"
"24.11.2014","2,50","2,41","2,54","2,41","1,71M","2,46%"
"21.11.2014","2,44","2,42","2,50","2,38","2,03M","0,00%"
"19.11.2014","2,44","2,36","2,44","2,36","1,98M","3,39%"
"18.11.2014","2,36","2,28","2,37","2,25","1,66M","3,51%"
"17.11.2014","2,28","2,31","2,33","2,27","1,12M","-1,30%"
"14.11.2014","2,31","2,31","2,37","2,25","2,81M","-0,43%"
"13.11.2014","2,32","2,36","2,37","2,31","1,18M","-1,28%"
"12.11.2014","2,35","2,44","2,44","2,35","1,88M","-3,29%"
"11.11.2014","2,43","2,49","2,49","2,39","1,93M","-2,02%"
"10.11.2014","2,48","2,52","2,54","2,44","2,08M","-1,59%"
"07.11.2014","2,52","2,47","2,52","2,42","2,50M","0,80%"
"06.11.2014","2,50","2,50","2,55","2,46","2,15M","-1,96%"
"05.11.2014","2,55","2,51","2,55","2,47","1,48M","1,19%"
"04.11.2014","2,52","2,54","2,57","2,51","2,37M","0,00%"
"03.11.2014","2,52","2,47","2,58","2,46","3,29M","4,13%"
"31.10.2014","2,42","2,44","2,52","2,42","4,62M","4,31%"
"30.10.2014","2,32","2,25","2,34","2,19","1,62M","4,04%"
"29.10.2014","2,23","2,25","2,27","2,23","634,68K","-1,33%"
"28.10.2014","2,26","2,26","2,26","2,19","861,38K","4,15%"
"27.10.2014","2,17","1,88","2,18","1,88","812,11K","0,46%"
"24.10.2014","2,16","2,10","2,18","2,09","1,12M","2,86%"
"23.10.2014","2,10","2,25","2,26","2,09","3,73M","-7,08%"
"22.10.2014","2,26","2,22","2,26","2,21","2,33M","1,35%"
"21.10.2014","2,23","2,26","2,29","2,20","2,93M","-2,19%"
"20.10.2014","2,28","2,32","2,32","2,26","2,42M","-1,30%"
"17.10.2014","2,31","2,35","2,37","2,30","2,27M","-1,28%"
"16.10.2014","2,34","2,35","2,40","2,31","4,04M","-2,09%"
"15.10.2014","2,39","2,39","2,42","2,33","2,46M","0,00%"
"14.10.2014","2,39","2,38","2,41","2,37","1,30M","1,27%"
"13.10.2014","2,36","2,44","2,48","2,35","2,17M","-0,42%"
"10.10.2014","2,37","2,51","2,51","2,37","2,12M","-6,69%"
"09.10.2014","2,54","2,51","2,54","2,41","2,24M","2,83%"
"08.10.2014","2,47","2,42","2,47","2,35","4,37M","1,23%"
"07.10.2014","2,44","2,43","2,44","2,38","2,83M","1,24%"
"06.10.2014","2,41","2,38","2,47","2,35","1,68M","4,78%"
"03.10.2014","2,30","2,32","2,35","2,29","2,88M","-0,86%"
"02.10.2014","2,32","2,24","2,38","2,24","2,36M","3,57%"
"01.10.2014","2,24","2,22","2,25","2,16","3,29M","0,90%"
"30.09.2014","2,22","2,16","2,22","2,10","6,41M","3,26%"
"29.09.2014","2,15","2,32","2,32","2,15","3,85M","-8,12%"
"26.09.2014","2,34","2,35","2,39","2,33","1,26M","-0,43%"
"25.09.2014","2,35","2,40","2,44","2,32","3,75M","-2,08%"
"24.09.2014","2,40","2,39","2,42","2,36","4,49M","-0,41%"
"23.09.2014","2,41","2,43","2,45","2,38","2,19M","-0,41%"
"22.09.2014","2,42","2,51","2,54","2,42","1,99M","-4,72%"
"19.09.2014","2,54","2,47","2,55","2,47","1,07M","1,20%"
"18.09.2014","2,51","2,49","2,55","2,47","1,98M","0,80%"
"17.09.2014","2,49","2,59","2,59","2,49","1,46M","-2,35%"
"16.09.2014","2,55","2,47","2,61","2,47","2,56M","3,66%"
"15.09.2014","2,46","2,44","2,49","2,39","3,50M","2,07%"
"12.09.2014","2,41","2,43","2,43","2,35","2,41M","-0,41%"
"11.09.2014","2,42","2,41","2,44","2,35","3,37M","1,26%"
"10.09.2014","2,39","2,46","2,48","2,34","2,87M","-3,24%"
"09.09.2014","2,47","2,56","2,56","2,45","3,96M","-3,14%"
"08.09.2014","2,55","2,61","2,62","2,55","1,66M","-2,30%"
"05.09.2014","2,61","2,69","2,70","2,54","5,30M","-2,25%"
"04.09.2014","2,67","2,70","2,75","2,67","1,79M","-0,37%"
"03.09.2014","2,68","2,66","2,73","2,65","2,78M","1,13%"
"02.09.2014","2,65","2,66","2,67","2,61","1,53M","0,76%"
"01.09.2014","2,63","2,64","2,64","2,61","646,28K","-0,38%"
"29.08.2014","2,64","2,64","2,66","2,61","2,01M","-0,75%"
"28.08.2014","2,66","2,66","2,68","2,64","2,45M","0,00%"
"27.08.2014","2,66","2,67","2,67","2,63","1,70M","0,76%"
