"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2014","10,52","10,90","10,92","10,40","2,88M","-2,41%"
"29.12.2014","10,78","10,49","10,90","10,35","1,47M","2,67%"
"26.12.2014","10,50","10,48","10,80","10,43","742,77K","-0,47%"
"23.12.2014","10,55","10,58","10,79","10,37","2,18M","-1,40%"
"22.12.2014","10,70","10,54","10,70","10,18","2,67M","1,23%"
"19.12.2014","10,57","9,86","10,57","9,76","5,42M","6,45%"
"18.12.2014","9,93","9,75","10,08","9,68","2,78M","2,48%"
"17.12.2014","9,69","9,51","9,88","9,34","4,12M","2,65%"
"16.12.2014","9,44","9,19","9,66","9,19","2,84M","0,11%"
"15.12.2014","9,43","9,70","9,74","9,20","4,36M","-2,28%"
"12.12.2014","9,65","9,78","9,81","9,62","3,44M","-2,03%"
"11.12.2014","9,85","9,90","10,06","9,67","2,08M","-1,30%"
"10.12.2014","9,98","10,14","10,37","9,98","2,66M","-1,96%"
"09.12.2014","10,18","9,98","10,28","9,95","2,62M","2,41%"
"08.12.2014","9,94","10,20","10,40","9,94","3,57M","-3,59%"
"05.12.2014","10,31","10,02","10,31","9,98","1,92M","2,89%"
"04.12.2014","10,02","10,11","10,14","9,86","1,72M","-0,89%"
"03.12.2014","10,11","9,96","10,19","9,91","1,69M","2,74%"
"02.12.2014","9,84","10,00","10,18","9,81","2,17M","-1,99%"
"01.12.2014","10,04","10,19","10,34","9,89","2,49M","-2,62%"
"28.11.2014","10,31","10,25","10,52","10,25","1,69M","-0,29%"
"27.11.2014","10,34","10,40","10,60","10,23","1,50M","-1,15%"
"26.11.2014","10,46","10,29","10,46","10,29","2,15M","2,25%"
"25.11.2014","10,23","10,60","10,65","10,23","2,67M","-2,01%"
"24.11.2014","10,44","10,82","10,82","10,36","2,80M","-1,14%"
"21.11.2014","10,56","10,16","10,98","10,09","8,14M","5,18%"
"19.11.2014","10,04","9,95","10,18","9,91","3,40M","1,52%"
"18.11.2014","9,89","9,74","9,89","9,65","3,58M","1,64%"
"17.11.2014","9,73","9,62","9,83","9,56","3,11M","1,14%"
"14.11.2014","9,62","9,78","9,96","9,52","4,71M","-2,53%"
"13.11.2014","9,87","9,99","10,16","9,87","2,92M","-1,69%"
"12.11.2014","10,04","9,99","10,08","9,89","1,63M","0,20%"
"11.11.2014","10,02","9,80","10,07","9,80","1,18M","1,21%"
"10.11.2014","9,90","10,30","10,41","9,90","1,65M","-3,23%"
"07.11.2014","10,23","9,81","10,36","9,76","4,40M","4,28%"
"06.11.2014","9,81","10,02","10,16","9,81","2,12M","-2,78%"
"05.11.2014","10,09","10,23","10,49","10,09","1,99M","-2,70%"
"04.11.2014","10,37","10,47","10,67","10,35","3,43M","-0,58%"
"03.11.2014","10,43","10,52","10,68","10,28","2,69M","-0,86%"
"31.10.2014","10,52","10,26","10,52","10,26","5,95M","2,63%"
"30.10.2014","10,25","10,12","10,44","10,12","2,95M","1,18%"
"29.10.2014","10,13","10,28","10,35","10,13","3,19M","-1,36%"
"28.10.2014","10,27","10,40","10,70","10,13","7,41M","-1,25%"
"27.10.2014","10,40","9,52","10,47","9,43","10,11M","3,07%"
"24.10.2014","10,09","9,62","10,38","9,56","7,98M","4,13%"
"23.10.2014","9,69","10,30","10,37","9,52","4,14M","-6,56%"
"22.10.2014","10,37","10,21","10,46","10,21","1,47M","0,88%"
"21.10.2014","10,28","10,58","10,62","10,19","2,65M","-4,37%"
"20.10.2014","10,75","10,83","10,90","10,68","1,59M","-1,38%"
"17.10.2014","10,90","10,71","10,93","10,60","3,02M","1,87%"
"16.10.2014","10,70","10,65","10,85","10,38","2,69M","-2,19%"
"15.10.2014","10,94","11,18","11,32","10,78","3,33M","-3,36%"
"14.10.2014","11,32","11,37","11,49","11,21","4,11M","-0,09%"
"13.10.2014","11,33","11,32","11,61","11,08","2,74M","2,53%"
"10.10.2014","11,05","11,26","11,26","10,88","2,40M","-1,95%"
"09.10.2014","11,27","11,23","11,43","11,08","2,54M","1,99%"
"08.10.2014","11,05","11,17","11,27","10,79","1,90M","0,00%"
"07.10.2014","11,05","11,11","11,22","10,98","3,19M","0,73%"
"06.10.2014","10,97","11,14","11,25","10,81","3,51M","6,09%"
"03.10.2014","10,34","10,31","10,42","10,12","2,75M","0,39%"
"02.10.2014","10,30","10,20","10,37","10,07","3,09M","0,10%"
"01.10.2014","10,29","10,24","10,36","10,23","5,25M","-1,34%"
"30.09.2014","10,43","10,14","10,43","10,14","3,07M","1,36%"
"29.09.2014","10,29","10,38","10,46","10,21","3,30M","-4,10%"
"26.09.2014","10,73","10,46","10,89","10,46","2,46M","2,78%"
"25.09.2014","10,44","10,66","10,80","10,39","2,64M","-2,70%"
"24.09.2014","10,73","10,58","10,79","10,48","2,47M","0,75%"
"23.09.2014","10,65","10,60","10,79","10,52","2,40M","-0,19%"
"22.09.2014","10,67","10,85","10,86","10,55","1,76M","-2,38%"
"19.09.2014","10,93","10,55","11,02","10,55","2,96M","3,02%"
"18.09.2014","10,61","10,75","10,92","10,60","2,66M","-1,67%"
"17.09.2014","10,79","10,88","11,08","10,77","3,90M","-0,55%"
"16.09.2014","10,85","10,68","11,09","10,68","4,09M","1,40%"
"15.09.2014","10,70","10,82","10,86","10,59","3,40M","-0,47%"
"12.09.2014","10,75","11,03","11,08","10,75","2,48M","-3,93%"
"11.09.2014","11,19","11,23","11,33","11,15","1,42M","0,36%"
"10.09.2014","11,15","10,85","11,20","10,79","2,64M","2,11%"
"09.09.2014","10,92","11,05","11,32","10,84","3,47M","-2,41%"
"08.09.2014","11,19","11,59","11,60","11,19","2,57M","-2,27%"
"05.09.2014","11,45","11,62","11,64","11,45","2,10M","-0,78%"
"04.09.2014","11,54","11,54","11,65","11,48","2,42M","-0,35%"
"03.09.2014","11,58","11,64","11,75","11,55","1,73M","-0,34%"
"02.09.2014","11,62","11,92","11,92","11,56","2,11M","-1,86%"
"01.09.2014","11,84","11,56","11,90","11,48","1,72M","1,02%"
"29.08.2014","11,72","11,74","11,81","11,65","2,95M","0,60%"
"28.08.2014","11,65","11,79","11,92","11,63","2,53M","-1,77%"
"27.08.2014","11,86","11,74","11,93","11,65","3,37M","1,80%"
"26.08.2014","11,65","11,62","11,78","11,50","4,74M","-0,17%"
"25.08.2014","11,67","11,70","11,91","11,61","3,19M","0,17%"
"22.08.2014","11,65","11,51","11,67","11,39","2,67M","0,95%"
"21.08.2014","11,54","11,56","11,61","11,50","2,70M","0,61%"
"20.08.2014","11,47","11,35","11,52","11,27","2,92M","1,50%"
"19.08.2014","11,30","11,11","11,32","11,08","2,66M","1,35%"
"18.08.2014","11,15","11,08","11,17","11,02","2,92M","1,36%"
"15.08.2014","11,00","11,11","11,17","10,87","1,40M","-0,09%"
"14.08.2014","11,01","10,93","11,17","10,93","6,05M","0,09%"
"13.08.2014","11,00","10,98","11,18","10,85","3,92M","1,01%"
"12.08.2014","10,89","10,75","11,02","10,74","2,69M","0,65%"
"11.08.2014","10,82","10,78","10,87","10,73","3,63M","0,37%"
"08.08.2014","10,78","10,58","10,82","10,51","6,47M","1,13%"
"07.08.2014","10,66","10,75","10,84","10,58","1,70M","-0,19%"
"06.08.2014","10,68","10,76","10,85","10,59","1,21M","-0,74%"
"05.08.2014","10,76","10,68","10,82","10,61","3,63M","0,56%"
"04.08.2014","10,70","10,75","10,88","10,70","1,38M","-0,28%"
"01.08.2014","10,73","10,68","10,79","10,56","3,17M","1,04%"
"31.07.2014","10,62","10,56","10,72","10,51","4,87M","-1,03%"
"30.07.2014","10,73","10,97","10,97","10,58","1,27M","-1,47%"
"29.07.2014","10,89","10,90","10,96","10,86","3,05M","-0,09%"
"28.07.2014","10,90","11,08","11,14","10,90","1,37M","-1,00%"
"25.07.2014","11,01","10,98","11,08","10,98","732,69K","-0,18%"
"24.07.2014","11,03","11,10","11,20","11,02","1,60M","0,00%"
"23.07.2014","11,03","10,92","11,03","10,92","1,27M","0,46%"
"22.07.2014","10,98","10,93","11,06","10,88","3,10M","0,64%"
"21.07.2014","10,91","11,03","11,07","10,91","2,49M","-0,09%"
"18.07.2014","10,92","11,02","11,08","10,86","2,38M","1,20%"
"17.07.2014","10,79","10,96","11,01","10,73","2,20M","-1,64%"
"16.07.2014","10,97","11,03","11,10","10,93","2,08M","0,09%"
"15.07.2014","10,96","11,03","11,03","10,87","2,31M","-0,72%"
"14.07.2014","11,04","10,87","11,08","10,80","2,05M","2,22%"
"11.07.2014","10,80","10,79","10,92","10,73","1,15M","0,28%"
"10.07.2014","10,77","10,93","10,93","10,73","2,28M","-0,19%"
"08.07.2014","10,79","10,68","10,82","10,68","1,03M","0,65%"
"07.07.2014","10,72","10,70","10,76","10,62","1,17M","-0,37%"
"04.07.2014","10,76","10,70","10,78","10,65","422,73K","0,56%"
"03.07.2014","10,70","10,51","10,81","10,51","1,92M","1,13%"
"02.07.2014","10,58","10,58","10,74","10,53","2,57M","0,57%"
"01.07.2014","10,52","10,70","10,84","10,47","1,82M","-1,59%"
"30.06.2014","10,69","10,75","10,79","10,62","2,12M","-0,37%"
"27.06.2014","10,73","10,80","10,89","10,71","1,11M","-0,92%"
"26.06.2014","10,83","10,96","10,96","10,80","1,96M","-0,55%"
"25.06.2014","10,89","10,93","11,06","10,85","2,22M","-1,00%"
"24.06.2014","11,00","10,92","11,01","10,87","3,98M","1,01%"
"23.06.2014","10,89","11,14","11,14","10,87","1,53M","-1,80%"
"20.06.2014","11,09","11,07","11,14","11,03","2,38M","-0,54%"
"18.06.2014","11,15","10,99","11,21","10,79","4,10M","2,11%"
"17.06.2014","10,92","10,92","10,96","10,86","607,64K","0,28%"
"16.06.2014","10,89","10,77","11,00","10,77","1,85M","1,11%"
"13.06.2014","10,77","11,09","11,09","10,74","2,83M","-2,36%"
"11.06.2014","11,03","10,87","11,03","10,83","2,43M","2,70%"
"10.06.2014","10,74","10,86","10,91","10,72","4,31M","-1,10%"
"09.06.2014","10,86","10,76","10,91","10,71","2,92M","1,50%"
"06.06.2014","10,70","10,83","10,88","10,66","1,84M","1,42%"
"05.06.2014","10,55","10,55","10,64","10,53","1,13M","0,57%"
"04.06.2014","10,49","10,36","10,52","10,36","1,79M","0,87%"
"03.06.2014","10,40","10,27","10,50","10,18","3,08M","1,27%"
