"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2014","1,91","1,91","1,92","1,89","840,71K","1,06%"
"29.12.2014","1,89","1,94","1,94","1,89","387,20K","-2,07%"
"26.12.2014","1,93","1,87","1,93","1,85","637,91K","3,21%"
"23.12.2014","1,87","1,91","1,95","1,87","484,97K","-2,09%"
"22.12.2014","1,91","1,85","1,92","1,85","654,85K","1,60%"
"19.12.2014","1,88","1,86","1,91","1,81","1,41M","2,17%"
"18.12.2014","1,84","1,80","1,84","1,80","729,87K","1,66%"
"17.12.2014","1,81","1,85","1,85","1,79","1,72M","-2,16%"
"16.12.2014","1,85","1,84","1,87","1,79","1,26M","0,54%"
"15.12.2014","1,84","1,89","1,90","1,81","450,60K","-2,65%"
"12.12.2014","1,89","1,80","1,89","1,78","663,56K","5,00%"
"11.12.2014","1,80","1,82","1,85","1,80","362,52K","-1,10%"
"10.12.2014","1,82","1,86","1,87","1,80","264,75K","-1,62%"
"09.12.2014","1,85","1,92","1,96","1,85","785,05K","-3,65%"
"08.12.2014","1,92","2,00","2,00","1,90","224,09K","-2,04%"
"05.12.2014","1,96","1,96","1,97","1,92","262,81K","1,03%"
"04.12.2014","1,94","1,97","1,97","1,92","376,55K","-1,52%"
"03.12.2014","1,97","1,91","1,97","1,89","255,55K","3,68%"
"02.12.2014","1,90","1,96","1,96","1,87","1,14M","-2,06%"
"01.12.2014","1,94","2,01","2,01","1,94","455,93K","-3,48%"
"28.11.2014","2,01","2,04","2,05","1,92","1,06M","-0,99%"
"27.11.2014","2,03","2,06","2,09","2,03","205,22K","-0,98%"
"26.11.2014","2,05","2,05","2,07","2,03","1,16M","0,99%"
"25.11.2014","2,03","2,03","2,06","2,02","384,30K","0,00%"
"24.11.2014","2,03","2,03","2,05","2,00","585,16K","0,50%"
"21.11.2014","2,02","1,94","2,03","1,94","1,20M","2,02%"
"19.11.2014","1,98","2,09","2,10","1,98","1,13M","-4,81%"
"18.11.2014","2,08","2,09","2,10","2,04","432,70K","0,00%"
"17.11.2014","2,08","2,12","2,12","2,05","391,56K","-0,48%"
"14.11.2014","2,09","2,09","2,11","2,04","430,76K","0,00%"
"13.11.2014","2,09","2,12","2,12","2,06","426,40K","-0,95%"
"12.11.2014","2,11","2,11","2,12","2,07","447,70K","0,48%"
"11.11.2014","2,10","2,13","2,13","2,10","397,36K","-0,94%"
"10.11.2014","2,12","2,16","2,16","2,10","410,92K","-1,40%"
"07.11.2014","2,15","2,15","2,15","2,08","346,06K","1,42%"
"06.11.2014","2,12","2,17","2,17","2,09","891,53K","-1,85%"
"05.11.2014","2,16","2,25","2,27","2,14","668,89K","-4,00%"
"04.11.2014","2,25","2,22","2,27","2,21","258,46K","1,35%"
"03.11.2014","2,22","2,29","2,29","2,22","235,22K","-2,63%"
"31.10.2014","2,28","2,17","2,28","2,16","481,10K","5,07%"
"30.10.2014","2,17","2,26","2,26","2,16","388,65K","-3,12%"
"29.10.2014","2,24","2,22","2,24","2,21","239,10K","0,45%"
"28.10.2014","2,23","2,22","2,28","2,20","431,73K","1,83%"
"27.10.2014","2,19","2,26","2,27","2,15","578,86K","-5,60%"
"24.10.2014","2,32","2,15","2,32","2,14","713,42K","9,43%"
"23.10.2014","2,12","2,08","2,16","2,05","344,61K","2,42%"
"22.10.2014","2,07","2,14","2,14","2,05","287,98K","-1,90%"
"21.10.2014","2,11","2,11","2,16","2,07","578,38K","0,00%"
"20.10.2014","2,11","2,19","2,19","2,09","436,08K","-3,21%"
"17.10.2014","2,18","2,22","2,24","2,17","654,85K","-1,80%"
"16.10.2014","2,22","2,20","2,27","2,19","563,86K","0,00%"
"15.10.2014","2,22","2,25","2,25","2,17","476,26K","-1,33%"
"14.10.2014","2,25","2,33","2,33","2,19","659,69K","-3,02%"
"13.10.2014","2,32","2,32","2,33","2,25","363,48K","0,87%"
"10.10.2014","2,30","2,23","2,30","2,22","321,38K","3,14%"
"09.10.2014","2,23","2,34","2,38","2,23","549,34K","-3,88%"
"08.10.2014","2,32","2,22","2,34","2,20","701,80K","4,98%"
"07.10.2014","2,21","2,24","2,27","2,17","756,01K","-0,90%"
"06.10.2014","2,23","2,33","2,35","2,23","621,46K","-3,88%"
"03.10.2014","2,32","2,31","2,34","2,30","399,30K","1,31%"
"02.10.2014","2,29","2,25","2,29","2,23","466,58K","1,33%"
