"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"28.02.2025","55,15","55,94","56,14","55,15","46,78M","-2,04%"
"27.02.2025","56,30","56,45","56,99","56,01","18,66M","-0,74%"
"26.02.2025","56,72","57,37","57,69","56,72","25,40M","-0,61%"
"25.02.2025","57,07","57,30","57,44","56,89","19,55M","-0,97%"
"24.02.2025","57,63","58,10","58,57","57,48","19,08M","-0,91%"
"21.02.2025","58,16","57,90","58,16","57,56","37,10M","0,73%"
"20.02.2025","57,74","56,80","58,16","56,48","76,93M","3,68%"
"19.02.2025","55,69","55,30","55,73","54,72","26,47M","-0,09%"
"18.02.2025","55,74","55,60","55,97","55,51","27,61M","0,67%"
"17.02.2025","55,37","55,64","55,92","55,28","12,39M","-0,54%"
"14.02.2025","55,67","55,22","55,81","55,00","49,80M","1,48%"
"13.02.2025","54,86","54,85","55,00","54,13","21,75M","0,13%"
"12.02.2025","54,79","55,01","55,29","54,70","35,43M","-0,67%"
"11.02.2025","55,16","54,91","55,19","54,39","18,20M","-0,43%"
"10.02.2025","55,40","54,87","55,40","54,84","15,57M","1,04%"
"07.02.2025","54,83","55,30","55,78","54,56","24,39M","-0,54%"
"06.02.2025","55,13","55,40","55,64","54,97","32,79M","1,51%"
"05.02.2025","54,31","53,91","54,46","53,86","21,67M","0,54%"
"04.02.2025","54,02","54,13","54,71","53,81","32,65M","-0,35%"
"03.02.2025","54,21","53,73","54,28","53,33","27,22M","0,07%"
"31.01.2025","54,17","54,99","55,21","54,00","25,46M","-1,56%"
"30.01.2025","55,03","53,30","55,60","53,28","40,56M","4,22%"
"29.01.2025","52,80","52,80","53,51","52,63","19,22M","0,28%"
"28.01.2025","52,65","53,59","53,78","52,54","22,93M","-2,43%"
"27.01.2025","53,96","52,89","53,98","52,57","24,53M","1,75%"
"24.01.2025","53,03","52,60","53,19","52,60","20,49M","1,36%"
"23.01.2025","52,32","52,95","52,99","51,84","25,10M","-0,65%"
"22.01.2025","52,66","54,28","54,29","52,42","34,65M","-2,52%"
"21.01.2025","54,02","54,29","54,32","53,25","28,80M","-0,50%"
"20.01.2025","54,29","54,22","54,49","53,76","12,32M","-0,37%"
"17.01.2025","54,49","53,15","54,49","52,98","54,27M","3,46%"
"16.01.2025","52,67","52,29","53,27","52,00","220,26M","0,13%"
"15.01.2025","52,60","52,14","52,68","51,63","35,14M","1,45%"
"14.01.2025","51,85","51,95","52,43","51,63","21,38M","0,66%"
"13.01.2025","51,51","52,00","52,31","50,87","30,85M","-0,02%"
"10.01.2025","51,52","51,54","52,31","51,23","25,83M","0,57%"
"09.01.2025","51,23","52,05","52,25","51,14","15,87M","-0,62%"
"08.01.2025","51,55","52,03","52,29","51,43","24,42M","-0,96%"
"07.01.2025","52,05","52,63","52,89","51,94","22,07M","-0,97%"
