"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"23.05.2017","25.992,52","25.563,66","26.031,36","25.563,66","","1,67%"
"22.05.2017","25.564,89","25.977,14","25.977,14","25.268,62","","-1,59%"
"19.05.2017","25.977,59","25.536,81","26.311,86","25.536,81","","1,72%"
"18.05.2017","25.537,22","27.999,19","27.999,19","25.056,04","","-8,80%"
"17.05.2017","28.000,85","28.454,92","28.454,92","27.852,22","","-1,61%"
"16.05.2017","28.460,31","28.358,66","28.501,93","28.224,87","","0,36%"
"15.05.2017","28.358,51","28.269,94","28.403,46","28.210,13","","0,32%"
"12.05.2017","28.268,18","28.012,02","28.358,42","28.012,02","","0,91%"
"11.05.2017","28.011,92","27.925,97","28.072,01","27.864,89","","0,31%"
"10.05.2017","27.923,99","27.489,27","27.996,48","27.489,27","","1,59%"
"09.05.2017","27.487,02","27.184,61","27.584,45","27.184,61","","1,12%"
"08.05.2017","27.181,85","27.238,09","27.370,94","27.081,81","","-0,21%"
"05.05.2017","27.239,74","26.890,60","27.260,39","26.890,60","","1,31%"
"04.05.2017","26.888,35","27.366,97","27.373,55","26.832,81","","-1,75%"
"03.05.2017","27.366,93","27.593,31","27.611,55","27.280,76","","-0,79%"
"02.05.2017","27.585,74","27.041,85","27.658,72","27.041,85","","2,01%"
"28.04.2017","27.041,80","26.723,78","27.041,80","26.689,43","","1,19%"
"27.04.2017","26.722,77","26.789,14","26.972,07","26.561,82","","-0,25%"
"26.04.2017","26.788,55","26.904,02","27.010,43","26.714,00","","-0,43%"
"25.04.2017","26.903,50","26.586,49","26.903,50","26.388,14","","1,18%"
"24.04.2017","26.589,13","26.350,87","26.741,91","26.350,87","","0,90%"
"20.04.2017","26.350,91","26.225,90","26.509,26","26.201,27","","0,48%"
"19.04.2017","26.225,91","26.518,40","26.681,83","26.146,22","","-1,09%"
"18.04.2017","26.516,12","26.583,36","26.683,49","26.344,38","","-0,25%"
"17.04.2017","26.583,50","25.974,96","26.617,19","25.974,96","","2,34%"
"13.04.2017","25.974,92","26.382,76","26.429,37","25.974,92","","-1,55%"
"12.04.2017","26.382,81","26.568,86","26.605,49","26.354,54","","-0,70%"
"11.04.2017","26.567,87","26.673,11","26.760,45","26.159,35","","-0,39%"
"10.04.2017","26.672,91","26.659,49","26.787,90","26.459,17","","0,05%"
"07.04.2017","26.659,49","26.501,18","26.892,87","26.427,06","","0,57%"
"06.04.2017","26.508,99","26.738,70","26.781,94","26.328,17","","-0,86%"
"05.04.2017","26.738,70","27.121,04","27.295,78","26.627,96","","-1,41%"
"04.04.2017","27.120,55","26.905,54","27.122,47","26.817,21","","0,80%"
"03.04.2017","26.905,54","26.808,89","26.967,49","26.731,06","","0,37%"
"31.03.2017","26.806,42","26.904,76","27.040,30","26.752,28","","-0,37%"
"30.03.2017","26.904,68","27.014,66","27.110,75","26.831,79","","-0,41%"
"29.03.2017","27.014,60","26.655,97","27.017,41","26.593,15","","1,34%"
"28.03.2017","26.657,80","26.522,26","26.738,29","26.424,87","","0,51%"
"27.03.2017","26.522,16","26.343,88","26.540,87","26.030,86","","0,64%"
"24.03.2017","26.353,04","26.230,84","26.411,73","26.201,63","","0,47%"
"23.03.2017","26.230,80","26.209,78","26.386,82","25.946,98","","0,08%"
"22.03.2017","26.209,66","26.003,73","26.298,90","25.796,33","","0,79%"
"21.03.2017","26.003,89","26.748,08","26.783,84","25.919,62","","-2,78%"
"20.03.2017","26.748,20","26.504,99","26.852,36","26.287,94","","0,92%"
"17.03.2017","26.505,09","27.131,56","27.297,04","26.472,44","","-2,31%"
"16.03.2017","27.131,56","27.298,49","27.427,42","27.037,36","","-0,61%"
"15.03.2017","27.298,23","26.701,45","27.336,81","26.621,21","","2,24%"
"14.03.2017","26.701,29","27.021,36","27.039,33","26.701,29","","-1,22%"
"13.03.2017","27.029,98","26.675,29","27.072,49","26.675,29","","1,33%"
"10.03.2017","26.675,29","26.630,70","27.081,13","26.590,94","","0,17%"
"09.03.2017","26.630,62","26.699,44","26.817,42","26.487,88","","-0,26%"
"08.03.2017","26.699,44","27.125,30","27.152,34","26.613,12","","-1,56%"
"07.03.2017","27.123,29","27.359,51","27.466,63","27.094,06","","-0,86%"
"06.03.2017","27.358,90","27.506,79","27.559,32","27.263,10","","-0,54%"
"03.03.2017","27.506,61","27.145,30","27.512,10","27.145,30","","1,34%"
"02.03.2017","27.143,27","27.590,03","27.609,12","27.047,45","","-1,62%"
"01.03.2017","27.589,99","27.452,86","27.741,55","27.452,86","","0,50%"
"24.02.2017","27.452,89","27.769,23","27.769,23","27.367,49","","-1,14%"
"23.02.2017","27.769,25","28.199,50","28.559,56","27.686,79","","-1,53%"
"22.02.2017","28.199,48","28.396,57","28.396,57","28.083,94","","-0,70%"
"21.02.2017","28.396,95","28.179,20","28.411,19","28.179,20","","0,78%"
"20.02.2017","28.177,86","27.872,34","28.232,06","27.872,34","","1,11%"
"17.02.2017","27.869,45","27.894,80","27.897,92","27.632,28","","-0,09%"
"16.02.2017","27.894,79","27.946,17","28.139,93","27.829,40","","-0,18%"
"15.02.2017","27.946,14","27.438,41","27.964,20","27.438,41","","1,85%"
"14.02.2017","27.438,46","27.551,63","27.592,42","27.251,95","","-0,41%"
"13.02.2017","27.551,63","27.205,54","27.593,67","27.205,54","","1,27%"
"10.02.2017","27.205,54","26.747,95","27.272,19","26.741,13","","1,71%"
"09.02.2017","26.747,95","26.700,64","26.878,80","26.590,68","","0,20%"
"08.02.2017","26.695,13","26.434,00","26.696,01","26.253,80","","0,99%"
"07.02.2017","26.433,64","26.354,11","26.662,30","26.329,00","","0,30%"
"06.02.2017","26.354,11","26.729,58","26.879,71","26.329,76","","-1,40%"
"03.02.2017","26.729,53","26.562,46","26.904,86","26.449,18","","0,63%"
"02.02.2017","26.562,07","26.645,30","26.774,21","26.385,05","","-0,31%"
"01.02.2017","26.645,72","26.574,83","26.942,94","26.574,83","","0,27%"
"31.01.2017","26.574,87","26.426,52","26.664,33","26.420,74","","0,57%"
"30.01.2017","26.423,51","27.116,07","27.116,07","26.372,86","","-2,55%"
"27.01.2017","27.116,07","27.193,01","27.210,40","27.059,29","","-0,28%"
"26.01.2017","27.191,29","27.031,72","27.344,25","27.031,72","","0,59%"
"24.01.2017","27.031,74","26.986,14","27.166,85","26.945,94","","0,17%"
"23.01.2017","26.984,92","26.504,20","27.010,96","26.496,52","","1,81%"
"20.01.2017","26.505,20","26.266,49","26.569,82","26.266,49","","0,91%"
"19.01.2017","26.266,48","26.365,79","26.471,27","26.117,40","","-0,38%"
