"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"12.02.2025","52.683,17","53.582,85","53.582,85","52.569,48","","-1,68%"
"11.02.2025","53.583,79","53.180,63","53.739,44","53.178,48","","0,76%"
"10.02.2025","53.180,68","52.781,17","53.522,86","52.781,17","","0,76%"
"07.02.2025","52.781,17","53.455,65","53.577,27","52.654,12","","-1,26%"
"06.02.2025","53.455,68","53.177,02","53.528,62","53.062,92","","0,52%"
"05.02.2025","53.177,30","53.040,82","53.316,02","52.815,13","","0,26%"
"04.02.2025","53.041,33","53.380,87","53.380,87","52.833,94","","-0,64%"
"03.02.2025","53.383,32","53.473,03","53.604,59","53.225,90","","-0,17%"
"31.01.2025","53.473,03","53.796,07","54.056,06","53.441,24","","-0,60%"
"30.01.2025","53.795,20","52.313,77","53.897,83","52.313,48","","2,83%"
"29.01.2025","52.313,77","52.578,75","52.876,63","52.247,57","0,00K","-0,50%"
"28.01.2025","52.578,75","52.900,31","52.917,82","52.529,89","0,00K","-0,61%"
"27.01.2025","52.900,40","51.910,91","52.901,41","51.798,55","0,00K","1,90%"
"24.01.2025","51.913,51","51.918,92","52.098,04","51.798,95","0,00K","-0,01%"
"23.01.2025","51.918,92","52.140,78","52.552,49","51.780,88","0,00K","-0,43%"
"22.01.2025","52.140,78","52.275,12","52.499,91","52.124,85","0,00K","-0,26%"
"21.01.2025","52.276,42","52.080,31","52.329,37","51.829,12","0,00K","0,38%"
"20.01.2025","52.080,20","51.865,67","52.216,88","51.517,33","0,00K","0,41%"
"17.01.2025","51.866,23","51.415,89","52.001,13","51.331,45","0,00K","0,89%"
"16.01.2025","51.406,36","51.993,44","51.996,27","51.215,97","0,00K","-1,13%"
"15.01.2025","51.993,44","50.597,70","52.129,35","50.595,42","0,00K","2,77%"
"14.01.2025","50.593,45","50.460,53","50.654,03","50.133,08","0,00K","0,26%"
"13.01.2025","50.460,53","50.403,34","50.782,41","50.362,61","0,00K","0,11%"
"10.01.2025","50.403,64","50.782,09","50.908,77","50.367,00","0,00K","-0,75%"
"09.01.2025","50.782,00","50.701,47","50.935,02","50.659,46","0,00K","0,16%"
"08.01.2025","50.701,44","51.359,74","51.359,92","50.585,74","0,00K","-1,28%"
"07.01.2025","51.360,89","50.853,54","51.584,97","50.853,54","0,00K","1,00%"
"06.01.2025","50.853,33","50.252,40","50.994,34","50.252,40","0,00K","1,20%"
"03.01.2025","50.251,59","50.918,20","51.017,06","50.197,37","0,00K","-1,31%"
