"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"20.10.1999","10.392,4","10.203,3","10.392,4","10.203,3","111,75M","1,84%"
"19.10.1999","10.204,9","10.117,5","10.335,4","10.117,5","99,72M","0,88%"
"18.10.1999","10.116,3","10.018,5","10.128,0","9.976,0","91,68M","0,96%"
"15.10.1999","10.019,7","10.286,6","10.286,6","9.998,2","114,64M","-2,59%"
"14.10.1999","10.286,6","10.286,6","10.343,0","10.133,7","100,33M","0,53%"
"13.10.1999","10.232,2","10.412,3","10.443,0","10.226,5","92,23M","-1,77%"
"12.10.1999","10.417,1","10.648,8","10.648,8","10.417,1","77,47M","-2,17%"
"11.10.1999","10.648,2","10.649,8","10.719,1","10.634,9","71,71M","-0,02%"
"08.10.1999","10.649,8","10.534,5","10.655,8","10.506,3","96,89M","1,07%"
"07.10.1999","10.537,1","10.588,3","10.604,5","10.508,2","87,86M","-0,48%"
"06.10.1999","10.588,4","10.399,8","10.588,3","10.399,5","100,93M","1,81%"
"05.10.1999","10.400,6","10.401,2","10.509,2","10.277,1","118,51M","-0,01%"
"04.10.1999","10.401,2","10.274,6","10.417,7","10.274,3","99,08M","1,25%"
"01.10.1999","10.273,0","10.335,7","10.335,7","10.184,0","109,89M","-0,62%"
"30.09.1999","10.337,0","10.214,1","10.402,8","10.212,8","108,36M","1,21%"
"29.09.1999","10.213,5","10.274,3","10.334,7","10.210,9","88,81M","-0,60%"
"28.09.1999","10.275,5","10.300,5","10.310,0","10.081,1","93,52M","-0,27%"
"27.09.1999","10.303,4","10.279,3","10.402,5","10.279,3","79,05M","0,23%"
"24.09.1999","10.279,3","10.311,9","10.336,3","10.187,2","94,08M","-0,38%"
"23.09.1999","10.318,6","10.524,1","10.572,5","10.302,1","99,50M","-1,95%"
"22.09.1999","10.524,1","10.599,4","10.606,1","10.494,0","95,22M","-0,70%"
"21.09.1999","10.598,5","10.823,0","10.823,0","10.551,9","82,63M","-2,08%"
"20.09.1999","10.823,9","10.801,9","10.845,7","10.780,8","57,67M","0,19%"
"17.09.1999","10.803,6","10.745,4","10.860,9","10.745,1","102,60M","0,62%"
"16.09.1999","10.737,5","10.795,8","10.799,2","10.626,6","77,20M","-0,59%"
"15.09.1999","10.801,4","10.910,4","11.013,9","10.798,6","78,97M","-1,00%"
"14.09.1999","10.910,3","11.028,7","11.028,7","10.886,3","74,20M","-1,09%"
"13.09.1999","11.030,3","11.027,4","11.042,4","10.982,2","67,13M","0,02%"
"10.09.1999","11.028,4","11.031,3","11.142,4","11.024,0","70,47M","-0,46%"
"09.09.1999","11.079,4","11.031,3","11.095,9","10.981,9","78,92M","0,39%"
"08.09.1999","11.036,4","11.034,1","11.117,4","10.967,0","86,07M","0,02%"
"07.09.1999","11.034,1","11.079,1","11.104,1","11.012,0","79,91M","-0,40%"
"03.09.1999","11.078,5","10.856,2","11.087,0","10.856,2","79,66M","2,17%"
"02.09.1999","10.843,2","10.828,4","10.934,1","10.732,7","77,11M","-0,87%"
"01.09.1999","10.937,9","10.828,4","10.941,4","10.828,4","80,83M","1,00%"
"31.08.1999","10.829,3","10.909,7","10.982,2","10.782,1","100,53M","-0,78%"
"30.08.1999","10.914,1","11.087,7","11.123,1","10.902,1","70,32M","-1,59%"
"27.08.1999","11.090,2","11.198,5","11.229,2","11.077,8","60,34M","-0,97%"
"26.08.1999","11.198,5","11.326,0","11.333,0","11.191,5","74,93M","-1,13%"
"25.08.1999","11.326,0","11.282,4","11.334,6","11.198,5","99,87M","0,38%"
"24.08.1999","11.283,3","11.297,5","11.365,9","11.194,0","83,02M","-0,15%"
"23.08.1999","11.299,8","11.099,7","11.299,8","11.098,1","85,07M","1,79%"
