"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"16.02.2025","6.115,5","6.118,8","6.118,9","6.112,1","","0,01%"
"14.02.2025","6.114,9","6.114,9","6.127,4","6.102,2","","0,00%"
"13.02.2025","6.114,7","6.063,9","6.117,7","6.033,2","","0,84%"
"12.02.2025","6.063,7","6.069,6","6.074,6","5.998,8","","-0,10%"
"11.02.2025","6.070,0","6.054,9","6.076,8","6.036,7","","0,25%"
"10.02.2025","6.055,0","6.037,7","6.073,6","6.035,8","","0,28%"
"09.02.2025","6.037,8","5.992,8","6.038,8","5.992,8","","0,17%"
"07.02.2025","6.027,6","6.077,5","6.100,6","6.020,0","","-0,83%"
"06.02.2025","6.077,9","6.064,6","6.083,8","6.046,2","","0,21%"
"05.02.2025","6.065,0","6.016,8","6.066,8","5.995,4","","0,81%"
"04.02.2025","6.016,4","6.029,8","6.042,9","5.961,5","","-0,22%"
"03.02.2025","6.029,9","5.940,3","6.038,5","5.908,4","","1,51%"
"02.02.2025","5.940,4","5.951,8","5.951,8","5.916,6","","-1,62%"
"31.01.2025","6.038,1","6.081,8","6.120,7","6.030,9","","-0,72%"
"30.01.2025","6.081,6","6.038,7","6.086,8","6.027,5","","0,71%"
"29.01.2025","6.038,6","6.057,5","6.080,3","6.012,2","","-0,30%"
"28.01.2025","6.057,0","6.020,1","6.074,5","5.992,8","","0,62%"
"27.01.2025","6.019,6","6.069,9","6.070,6","5.915,2","","-0,83%"
"26.01.2025","6.070,0","6.069,9","6.071,4","6.065,9","","-0,47%"
"24.01.2025","6.098,6","6.114,1","6.127,9","6.088,7","","-0,25%"
"23.01.2025","6.113,9","6.079,8","6.118,0","6.066,5","","0,56%"
"22.01.2025","6.080,0","6.060,2","6.100,5","6.059,2","","0,33%"
"21.01.2025","6.060,2","6.032,5","6.062,7","5.959,2","","0,46%"
"20.01.2025","6.032,4","5.986,8","6.041,6","5.983,8","","0,77%"
"19.01.2025","5.986,4","5.998,4","6.001,0","5.983,5","","-0,15%"
"17.01.2025","5.995,6","5.938,4","6.015,3","5.936,8","","0,95%"
"16.01.2025","5.939,1","5.954,1","5.977,5","5.924,0","","-0,25%"
"15.01.2025","5.953,9","5.846,4","5.960,6","5.840,4","","1,83%"
"14.01.2025","5.846,7","5.853,0","5.879,0","5.805,1","","-0,11%"
"13.01.2025","5.853,4","5.820,1","5.861,4","5.769,5","","0,57%"
"12.01.2025","5.820,1","5.819,3","5.827,5","5.808,3","","-0,03%"
"10.01.2025","5.821,8","5.890,9","5.919,5","5.807,6","","-1,16%"
"09.01.2025","5.890,1","5.908,0","5.914,9","5.886,4","","-0,28%"
"08.01.2025","5.906,7","5.913,9","5.930,4","5.874,7","","-0,12%"
"07.01.2025","5.913,6","5.980,9","6.000,2","5.891,2","","-1,12%"
"06.01.2025","5.980,8","5.944,8","6.020,6","5.934,2","","0,63%"
"05.01.2025","5.943,4","5.947,6","5.948,4","5.939,1","","0,08%"
"03.01.2025","5.938,9","5.868,6","5.949,2","5.867,5","","1,20%"
"02.01.2025","5.868,6","5.888,8","5.945,4","5.830,8","","-0,34%"
"01.01.2025","5.888,6","5.894,9","5.904,8","5.883,2","","0,06%"
"31.12.2024","5.885,1","5.901,1","5.931,8","5.868,5","","-0,27%"
"30.12.2024","5.900,9","5.970,6","5.973,4","5.868,6","","-1,17%"
"29.12.2024","5.970,9","5.974,8","5.981,1","5.963,6","","-0,08%"
"27.12.2024","5.975,6","6.039,2","6.040,1","5.932,1","","-1,07%"
"26.12.2024","6.040,1","6.035,8","6.050,4","6.002,4","","0,07%"
"25.12.2024","6.036,1","6.037,6","6.040,6","6.034,6","","-0,03%"
"24.12.2024","6.037,9","5.971,6","6.038,1","5.965,9","","1,11%"
"23.12.2024","5.971,8","5.955,4","5.977,9","5.902,3","","0,28%"
"22.12.2024","5.955,3","5.940,8","5.960,0","5.940,8","","0,42%"
"20.12.2024","5.930,6","5.869,4","5.983,2","5.801,2","","1,04%"
"19.12.2024","5.869,4","5.870,7","5.933,7","5.864,9","","-0,01%"
"18.12.2024","5.870,1","6.044,1","6.071,0","5.836,7","","-2,88%"
"17.12.2024","6.044,3","6.067,5","6.073,7","6.034,5","","-0,38%"
"16.12.2024","6.067,4","6.050,4","6.084,8","6.049,2","","0,29%"
"15.12.2024","6.049,9","6.047,2","6.051,9","6.045,2","","0,06%"
"13.12.2024","6.046,0","6.056,6","6.077,8","6.035,5","","-0,18%"
"12.12.2024","6.056,9","6.077,5","6.079,8","6.047,7","","-0,35%"
"11.12.2024","6.078,1","6.040,7","6.093,0","6.035,5","","0,62%"
"10.12.2024","6.040,8","6.050,7","6.065,1","6.029,7","","-0,17%"
"09.12.2024","6.050,8","6.090,1","6.094,5","6.049,1","","-0,65%"
"08.12.2024","6.090,2","6.085,4","6.091,7","6.084,4","","0,06%"
